SampleID	Reef	Colony	Environment	Treatment	Batch	control	heat	anti	lps	anti.heat	anti.heat.lps	allheat	allanti	alllps	Wanglitung	Houwan	H1	H2	W1	W2	H1.control	H2.control	W1.control	W2.control	H1.heat	H2.heat	W1.heat	W2.heat	H1.anti	H2.anti	W1.anti	W2.anti	H1.lps	H2.lps	W1.lps	W2.lps	H1.anti.heat	H2.anti.heat	W1.anti.heat	W2.anti.heat	H1.anti.heat.lps	H2.anti.heat.lps	W1.anti.heat.lps	W2.anti.heat.lps	H1.allheat	H2.allheat	W1.allheat	W2.allheat	H1.allanti	H2.allanti	W1.allanti	W2.allanti	H1.alllps	H2.alllps	W1.alllps	W2.alllps
Hw1-1a	Houwan	HW1	Stable	Antibiotics.Heat	A	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Hw1-1b	Houwan	HW1	Stable	Antibiotics.Heat	A	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Hw1-1c	Houwan	HW1	Stable	Antibiotics.Heat	A	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Hw1-2a	Houwan	HW1	Stable	Antibiotics.Heat.LPS	A	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Hw1-2b	Houwan	HW1	Stable	Antibiotics.Heat.LPS	A	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Hw1-2c	Houwan	HW1	Stable	Antibiotics.Heat.LPS	A	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Hw1-3a	Houwan	HW1	Stable	LPS	A	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hw1-3b	Houwan	HW1	Stable	LPS	A	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hw1-3c	Houwan	HW1	Stable	LPS	B	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hw1-4a	Houwan	HW1	Stable	Heat	A	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
