#SampleID	Reef	Colony	Environment	Treatment
Control1	controls	controls	controls	positive
Control2	controls	controls	controls	positive
Control3	controls	controls	controls	positive
Neg1	controls	controls	controls	negative
Neg2	controls	controls	controls	negative
Hw1.3a	Houwan	HW1	Stable	LPS
Hw1.3b	Houwan	HW1	Stable	LPS
Hw1.3c	Houwan	HW1	Stable	LPS
Hw1.6a	Houwan	HW1	Stable	control
Hw1.6b	Houwan	HW1	Stable	control
Hw1.6c	Houwan	HW1	Stable	control
Hw2.3a	Houwan	HW2	Stable	LPS
Hw2.3b	Houwan	HW2	Stable	LPS
Hw2.3c	Houwan	HW2	Stable	LPS
Hw2.6a	Houwan	HW2	Stable	control
Hw2.6b	Houwan	HW2	Stable	control
Hw2.6c	Houwan	HW2	Stable	control
Wt1.3a	Wanglitung	WT1	Stable	LPS
Wt1.3b	Wanglitung	WT1	Stable	LPS
Wt1.3c	Wanglitung	WT1	Stable	LPS
Wt1.6a	Wanglitung	WT1	Stable	control
Wt1.6b	Wanglitung	WT1	Stable	control
Wt1.6c	Wanglitung	WT1	Stable	control
Wt2.3a	Wanglitung	WT2	Stable	LPS
Wt2.3b	Wanglitung	WT2	Stable	LPS
Wt2.3c	Wanglitung	WT2	Stable	LPS
Wt2.6a	Wanglitung	WT2	Stable	control
Wt2.6b	Wanglitung	WT2	Stable	control
Wt2.6c	Wanglitung	WT2	Stable	control
