"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00008518",897.089740142331,3.44337701237466,0.368014518128497,9.35663361838449,8.23176434114509e-21,1.49661707486359e-16,"pdam_00008518 unknown function"
"pdam_00009540",1276.94020675089,3.11323013955724,0.339107116970672,9.18066883222181,4.28422079852523e-20,3.89457091689936e-16,"pdam_00009540 Hlf: Hepatic leukemia factor (Rattus norvegicus)"
"pdam_00019494",1342.17328286742,3.14386512460616,0.385371013970528,8.15802177806397,3.40556123880165e-16,2.06388362942176e-12,"pdam_00019494 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"pdam_00002776",256.796281917255,3.0938529872623,0.387831448029907,7.97731334830723,1.49552814083489e-15,6.79754928212977e-12,"pdam_00002776 unknown function"
"pdam_00011632",314.83281063649,4.00369663036702,0.510087652560528,7.84903655336361,4.19245423895244e-15,1.52446021036789e-11,"pdam_00011632 unknown function"
"pdam_00002777",153.902331674547,3.48873750908135,0.447091498168768,7.80318463529455,6.03641322187172e-15,1.82913381311416e-11,"pdam_00002777 Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)"
"pdam_00020672",680.918376509366,2.76692192963172,0.367877981152221,7.52130345220858,5.42328104803961e-14,1.40858103906297e-10,"pdam_00020672 unknown function"
"pdam_00019491",1068.54978818484,2.7088849259878,0.3852631568869,7.03125870606681,2.04678588559069e-12,4.65157677324054e-09,"pdam_00019491 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"pdam_00000351",11881.8116556739,2.35488807402295,0.344569293738362,6.83429463047588,8.24094999355666e-12,1.66476346480948e-08,"pdam_00000351 Pxd: Peroxidase (Drosophila melanogaster)"
"pdam_00014210",3112.90349541393,2.19880436213723,0.330710108001,6.64873648836455,2.95619704844969e-11,5.37466185378637e-08,"pdam_00014210 FIBCD1: Fibrinogen C domain-containing protein 1 (Homo sapiens)"
"pdam_00025647",219.758332154211,2.58620743698794,0.395226568997301,6.54360723660154,6.00523872611938e-11,9.92556775268877e-08,"pdam_00025647 unknown function"
"pdam_00025204",71.049629953674,4.13513326342568,0.640903105514541,6.45204123344954,1.10353541902474e-10,1.67194812110739e-07,"pdam_00025204 unknown function"
"pdam_00001942",155.826434328547,2.53638017238281,0.401016169155705,6.32488255454357,2.53425258305403e-10,3.54424970865426e-07,"pdam_00001942 Trpc5: Short transient receptor potential channel 5 (Mus musculus)"
"pdam_00007245",69.2329239707595,5.00759359279564,0.822864010685995,6.0855664213835,1.16080187532815e-09,1.50746706395293e-06,"pdam_00007245 Mfsd12: Major facilitator superfamily domain-containing protein 12 (Mus musculus)"
"pdam_00018067",3277.94642935531,2.07525738150281,0.35029896011391,5.92424648028637,3.13732598050223e-09,3.80264824343407e-06,"pdam_00018067 Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"pdam_00011012",134.222688321279,-2.58929843924487,0.451390696628607,-5.73626895411024,9.67849266316835e-09,1.09977921943165e-05,"pdam_00011012 Coadhesin (Fragment) (Acropora millepora)"
"pdam_00001002",392.204307681054,2.47915938811297,0.437707681255753,5.66396134744638,1.47917740034472e-08,1.58193672445102e-05,"pdam_00001002 ADAMTS7: A disintegrin and metalloproteinase with thrombospondin motifs 7 (Homo sapiens)"
"pdam_00013402",253.323203705165,2.54884009129275,0.452442544630302,5.63351108675124,1.76577160428131e-08,1.78352741874659e-05,"pdam_00013402 ADGRL3: Adhesion G protein-coupled receptor L3 (Homo sapiens)"
"pdam_00013401",73.5091206552138,3.91876920595862,0.740748065447702,5.29028611582016,1.22125162008679e-07,0.000116860924762094,"pdam_00013401 ADGRL2: Adhesion G protein-coupled receptor L2 (Homo sapiens)"
"pdam_00006473",3512.99810532917,1.57651574716294,0.300802428640071,5.24103397133585,1.59679312192841e-07,0.000145156478748902,"pdam_00006473 CRY1: Cryptochrome-1 (Sylvia borin)"
"pdam_00019490",89.2999927348506,2.67275873720809,0.518156055571077,5.15821191023688,2.49319352913071e-07,0.000215851197872026,"pdam_00019490 unknown function"
"pdam_00021544",746.528618731469,1.90286919089727,0.369645915378435,5.14781609029591,2.63536679798421e-07,0.000217789107973413,"pdam_00021544 unknown function"
"pdam_00003067",29.1129486692452,7.26506338025307,1.41552635977556,5.13241122645359,2.86053658438632e-07,0.000226119198437947,"pdam_00003067 unknown function"
"pdam_00013037",230.05189244604,-1.80860931350384,0.354277182941606,-5.1050685750822,3.30674578955906e-07,0.000250499771666555,"pdam_00013037 unknown function"
"pdam_00017586",285.925790769316,2.38286901369385,0.467529647039005,5.09672280417983,3.4558377679526e-07,0.000251322345836585,"pdam_00017586 Fat3: Protocadherin Fat 3 (Rattus norvegicus)"
"pdam_00005388",186.201026589747,2.23215356995212,0.440574514667421,5.06646094052245,4.05279863303758e-07,0.000283399738258678,"pdam_00005388 Lonrf3: LON peptidase N-terminal domain and RING finger protein 3 (Mus musculus)"
"pdam_00010603",138.268978001292,2.68966000928143,0.532538895903575,5.0506357938753,4.40341943579406e-07,0.000296513217637673,"pdam_00010603 Edil3: EGF-like repeat and discoidin I-like domain-containing protein 3 (Mus musculus)"
"pdam_00019563",2797.81881445312,1.52387340603535,0.302407169604211,5.03914443572811,4.67617498729329e-07,0.000303634062299926,"pdam_00019563 ZP domain-containing protein (Acropora millepora)"
"pdam_00025548",311.998011480034,2.31569808108577,0.468716267314661,4.9405114406477,7.79179205738234e-07,0.000488491625500925,"pdam_00025548 HELZ2: Helicase with zinc finger domain 2 (Homo sapiens)"
"pdam_00007240",32.3998165430581,3.62934007851792,0.746172603678029,4.86394174836787,1.15070792101629e-06,0.000697367357066572,"pdam_00007240 SCUBE1: Signal peptide%2C CUB and EGF-like domain-containing protein 1 (Homo sapiens)"
"pdam_00001528",1542.12599010053,-2.29365304569855,0.475292394727661,-4.82577266361016,1.39461519059855e-06,0.000817919315492653,"pdam_00001528 Alpl: Alkaline phosphatase%2C tissue-nonspecific isozyme (Rattus norvegicus)"
"pdam_00010918",106.98950628091,2.03152326453631,0.423529313866682,4.79665326111474,1.61338523828615e-06,0.000851049687003155,"pdam_00010918 Pkdrej: Polycystic kidney disease and receptor for egg jelly-related protein (Mus musculus)"
"pdam_00012866",97.2424913475227,3.05426555473118,0.635207950339731,4.80829239164537,1.5222500618021e-06,0.000851049687003155,"pdam_00012866 ANK1: Ankyrin-1 (Homo sapiens)"
"pdam_00011633",439.110640710473,1.65682777709829,0.345635035974511,4.79357589553066,1.63834437297786e-06,0.000851049687003155,"pdam_00011633 unknown function"
"pdam_00009716",1775.15567686413,2.11971120745147,0.44217442476416,4.79383494100106,1.636229146736e-06,0.000851049687003155,"pdam_00009716 unknown function"
"pdam_00005544",1137.59631651762,1.55605048766435,0.327347585912588,4.75351141914292,1.99913807676969e-06,0.00100962026038194,"pdam_00005544 OIT3: Oncoprotein-induced transcript 3 protein (Bos taurus)"
"pdam_00006916",3048.74688100319,1.45651638582084,0.306942206862769,4.7452463468865,2.08252730537242e-06,0.00102330889024259,"pdam_00006916 DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)"
"pdam_00024083",1113.96450835073,1.61999171046898,0.344928370766527,4.69660325959534,2.64523537634676e-06,0.00126560590466738,"pdam_00024083 unknown function"
