"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00015807",946.315106726909,-2.04039708368894,0.149784112074301,-13.622253091014,2.9531429810091e-42,6.08081671219584e-38,"pdam_00015807 HYDIN: Hydrocephalus-inducing protein homolog (Homo sapiens)"
"pdam_00024174",84.7361886229917,-3.30557254418712,0.260883689981712,-12.6706753665545,8.59710108273153e-37,8.85114541972624e-33,"pdam_00024174 unknown function"
"pdam_00023704",92.0510447667742,-3.83676672954202,0.306026226068419,-12.5373788345977,4.66160465365988e-36,2.71321942053522e-32,"pdam_00023704 KIAA1958: Uncharacterized protein KIAA1958 (Homo sapiens)"
"pdam_00012725",141.458615338029,-4.91070638421668,0.391989698369747,-12.5276414269046,5.27068995296046e-36,2.71321942053522e-32,"pdam_00012725 RCHY1: RING finger and CHY zinc finger domain-containing protein 1 (Homo sapiens)"
"pdam_00015159",104.159044620794,20.2831251883205,1.68678940971228,12.0246932258012,2.63565191736869e-33,1.08541417261078e-29,"pdam_00015159 unknown function"
"pdam_00021573",50.4134188280719,-9.99322416404144,0.889130359245501,-11.2393239755321,2.61376197384335e-29,8.96999546723473e-26,"pdam_00021573 unknown function"
"pdam_00012844",69.9231738497039,-2.09904269670774,0.194687275718303,-10.7816121467789,4.20451423593317e-27,1.16614493323752e-23,"pdam_00012844 Clpb: Caseinolytic peptidase B protein homolog (Mus musculus)"
"pdam_00012843",513.125097179768,-2.67988424183796,0.248719200643335,-10.7747380777447,4.53069761832848e-27,1.16614493323752e-23,"pdam_00012843 Clpb: Caseinolytic peptidase B protein homolog (Mus musculus)"
"pdam_00022198",133.404723331711,-2.7855453167016,0.26143125461433,-10.6549820173985,1.65276604053984e-26,3.78134506008399e-23,"pdam_00022198 DD3-3: Protein DD3-3 (Dictyostelium discoideum)"
"pdam_00010592",200.303456570174,-1.85464899572475,0.176505381536113,-10.5076059414386,7.96908501160974e-26,1.64091429474056e-22,"pdam_00010592 unknown function"
"pdam_00019670",84.2776890543521,-1.96282540674495,0.18738872403682,-10.4746185600755,1.1299219137653e-25,2.11511110239467e-22,"pdam_00019670 ANK3: Ankyrin-3 (Homo sapiens)"
"pdam_00025367",31.4129015162251,20.1952265007586,1.95593296976707,10.3251117563418,5.42555866142168e-25,9.30980653311115e-22,"pdam_00025367 shkA: Dual specificity protein kinase shkA (Dictyostelium discoideum)"
"pdam_00019191",23.235365879023,-8.98608505188052,0.87714623709839,-10.2446828953021,1.25034207058448e-24,1.98044565964654e-21,"pdam_00019191 unknown function"
"pdam_00021572",26.3360473047346,-9.07049055543885,0.899130132432196,-10.0880731590017,6.23819751827178e-24,9.17505179276674e-21,"pdam_00021572 unknown function"
"pdam_00025531",11.8346349432788,32.0397669251688,3.27069107035341,9.79602360357033,1.17105214813405e-22,1.60754231881522e-19,"pdam_00025531 unknown function"
"pdam_00016200",30.0067991948537,-7.546369162817,0.775863182444283,-9.72641740653666,2.32642461861976e-22,2.99396308262497e-19,"pdam_00016200 Parp12: Poly [ADP-ribose] polymerase 12 (Mus musculus)"
"pdam_00019580",189.536346990225,-2.99117424481433,0.309018170570119,-9.67960634578804,3.68130692132739e-22,4.45892887159131e-19,"pdam_00019580 unknown function"
"pdam_00009332",285.943191452323,-1.65393941237777,0.173309261756035,-9.54328346690439,1.38380163996047e-21,1.58299219824589e-18,"pdam_00009332 Top3a: DNA topoisomerase 3-alpha (Mus musculus)"
"pdam_00011986",413.411941645661,-3.65111654935058,0.386085464660272,-9.456757333673,3.1764083764843e-21,3.4423907831678e-18,"pdam_00011986 unknown function"
"pdam_00016253",783.124357477276,-1.44665315327715,0.154162397947058,-9.38395596164736,6.35428275956564e-21,6.5420518151108e-18,"pdam_00016253 KIF16B: Kinesin-like protein KIF16B (Homo sapiens)"
"pdam_00016216",355.829496323401,-1.01747574264715,0.10891029317158,-9.34232856250049,9.42383482984798e-21,9.24029442768571e-18,"pdam_00016216 mshA: D-inositol 3-phosphate glycosyltransferase (Nocardioides sp. (strain ATCC BAA-499 / JS614))"
"pdam_00021841",216.504140870013,-1.64500913896183,0.17826624171463,-9.22782195405887,2.7619064037466e-20,2.58501885270664e-17,"pdam_00021841 gk5: Putative glycerol kinase 5 (Danio rerio)"
"pdam_00022881",96.7075164289716,-2.23318228383143,0.243995098867129,-9.15257025325555,5.55947694426096e-20,4.97718216344684e-17,"pdam_00022881 cyp17a1: Steroid 17-alpha-hydroxylase/17%2C20 lyase (Ictalurus punctatus)"
"pdam_00003955",75.0257619281739,-5.37421832525997,0.588886716398701,-9.12606478564445,7.10344911528428e-20,6.09446336386744e-17,"pdam_00003955 unknown function"
"pdam_00004213",97.6682988349986,-1.68587952230563,0.185801666605592,-9.07354359680913,1.15207876833029e-19,9.48898156747558e-17,"pdam_00004213 ORF20: Ribonucleoside-diphosphate reductase small chain (Ostreid herpesvirus 1 (isolate France))"
"pdam_00014815",22.785457447522,-3.20070696204367,0.353017176782201,-9.06671735131571,1.22656576738655e-19,9.7139291216371e-17,"pdam_00014815 unknown function"
"pdam_00001629",48.2101714920418,-2.93904546512739,0.327520557355662,-8.973621347181,2.86922368356196e-19,2.13032523001109e-16,"pdam_00001629 GABRB4: Gamma-aminobutyric acid receptor subunit beta-4 (Gallus gallus)"
"pdam_00016641",108.646482233694,-2.77789041768707,0.309598211194796,-8.97256611065897,2.8968533067996e-19,2.13032523001109e-16,"pdam_00016641 unknown function"
"pdam_00025829",106.109723698584,-1.80036816020802,0.201521359016686,-8.93388258690213,4.11313843698243e-19,2.92047012261742e-16,"pdam_00025829 unknown function"
"pdam_00025532",4.76653263925972,27.2382192875852,3.07077400009655,8.8701478150879,7.3048873610379e-19,5.01383118837104e-16,"pdam_00025532 unknown function"
"pdam_00023642",36.2053060307648,-3.72979869434644,0.422353169270694,-8.8309949249036,1.03748696605299e-18,6.89125616709587e-16,"pdam_00023642 unknown function"
"pdam_00022729",67.3788396911188,-2.04027580989189,0.232726897592421,-8.76682425193955,1.83776313239403e-18,1.18254314559767e-15,"pdam_00022729 unknown function"
"pdam_00020965",215.604403204594,-1.23353716532224,0.141606091208561,-8.7110459359086,3.01083613246702e-18,1.87867050920086e-15,"pdam_00020965 Scyl3: Protein-associating with the carboxyl-terminal domain of ezrin (Mus musculus)"
"pdam_00025437",574.599131622747,-1.34992406421856,0.157239985313129,-8.58511950080831,9.07420543438288e-18,5.49549894409935e-15,"pdam_00025437 pats1: Probable serine/threonine-protein kinase pats1 (Dictyostelium discoideum)"
"pdam_00009910",111.043424114272,2.68687008126941,0.313940378565668,8.55853615755063,1.14309629990727e-17,6.7249988318259e-15,"pdam_00009910 unknown function"
"pdam_00025970",13.0997872198944,-4.46026940815689,0.525457099971931,-8.48836072135127,2.09572203441673e-17,1.19869478918541e-14,"pdam_00025970 unknown function"
"pdam_00009826",25.7869553649047,-7.88786344976603,0.931139823117472,-8.47119117229604,2.42896217417333e-17,1.35175027374062e-14,"pdam_00009826 MATN1: Cartilage matrix protein (Gallus gallus)"
"pdam_00005679",32.3259455662246,-7.43976486305827,0.882679854670247,-8.42861069468683,3.49793186958384e-17,1.89541881912108e-14,"pdam_00005679 unknown function"
"pdam_00016470",379.796883298481,-2.84771405876044,0.34051829948396,-8.36288112291181,6.12048776428678e-17,3.23146060395972e-14,"pdam_00016470 DDB_G0289245: Putative uncharacterized protein DDB_G0289245 (Dictyostelium discoideum)"
"pdam_00025574",14.3193790871632,-4.63129705095423,0.554912895739928,-8.34598922913623,7.06202443727644e-17,3.63535362969898e-14,"pdam_00025574 unknown function"
"pdam_00019160",677.379650635384,-1.48937116519374,0.181338858929039,-8.21319365297517,2.15381766940606e-16,1.08168925928635e-13,"pdam_00019160 ABCC4: Multidrug resistance-associated protein 4 (Homo sapiens)"
"pdam_00022281",16.9679820719867,-3.50496182728771,0.428886407439389,-8.17223807164614,3.02720413654855e-16,1.48412286608741e-13,"pdam_00022281 Edil3: EGF-like repeat and discoidin I-like domain-containing protein 3 (Mus musculus)"
"pdam_00003954",28.7113299837852,-7.99766234508513,0.994118369062956,-8.0449799480354,8.6259546107787e-16,4.1306286369894e-13,"pdam_00003954 unknown function"
"pdam_00024112",490.879560926166,-1.58058559006118,0.196643531107751,-8.03782143840314,9.14497611608664e-16,4.27964098196227e-13,"pdam_00024112 Trpc2: Short transient receptor potential channel 2 (Rattus norvegicus)"
"pdam_00022361",1098.42144788501,-1.07081061721237,0.133491343253474,-8.02157346772001,1.04399109893023e-15,4.73514988625546e-13,"pdam_00022361 Usp24: Ubiquitin carboxyl-terminal hydrolase 24 (Mus musculus)"
"pdam_00021721",19.373318811071,-3.18051292688429,0.396574832399358,-8.01995655559267,1.05782572370332e-15,4.73514988625546e-13,"pdam_00021721 SYNPCC7002_A1628: Uncharacterized protein SYNPCC7002_A1628 (Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6))"
"pdam_00011989",29.9863811685774,-3.49869158221312,0.439533653179159,-7.96000842462684,1.72027566406484e-15,7.53663748909767e-13,"pdam_00011989 unknown function"
"pdam_00004465",10.1959002670258,-5.0742737628587,0.638400807241106,-7.94841376342792,1.88914774402383e-15,8.10405024941554e-13,"pdam_00004465 ANKRD39: Ankyrin repeat domain-containing protein 39 (Homo sapiens)"
"pdam_00011258",11.2544212695595,-4.39525484669023,0.558852069442723,-7.86479121580976,3.6971354888533e-15,1.55362687450976e-12,"pdam_00011258 Hmcn1: Hemicentin-1 (Mus musculus)"
"pdam_00025200",12.8213278962147,-5.30954026863645,0.676118106742481,-7.85297748379742,4.06274627068595e-15,1.67312016919389e-12,"pdam_00025200 unknown function"
"pdam_00015413",34.4978760582649,-6.91952361257447,0.884685103286578,-7.82145374311001,5.22167593152571e-15,2.10822606090286e-12,"pdam_00015413 unknown function"
"pdam_00024590",30.3596111564073,-3.29004382368685,0.421614382311277,-7.80344305536005,6.02405943225801e-15,2.3854116878774e-12,"pdam_00024590 unknown function"
"pdam_00023550",17.8728901973276,-7.47862830026051,0.959403562043243,-7.79508081493179,6.43672700985815e-15,2.50072916716961e-12,"pdam_00023550 unknown function"
"pdam_00019779",14.5892698414093,-3.04212253037583,0.391369964561681,-7.77300969884821,7.66428704847654e-15,2.92250619657742e-12,"pdam_00019779 unknown function"
"pdam_00016201",189.928390695622,-2.11951183408037,0.274025392885018,-7.73472783586053,1.03624546193146e-14,3.87951460120557e-12,"pdam_00016201 Tiparp: TCDD-inducible poly [ADP-ribose] polymerase (Mus musculus)"
"pdam_00022278",269.834836738237,-2.87308640545466,0.37588589471711,-7.64350683501154,2.11383902421969e-14,7.77251059780493e-12,"pdam_00022278 unknown function"
"pdam_00011721",16.688472186829,20.1879428893905,2.67702213262747,7.54119386737242,4.65688194749339e-14,1.68227817861116e-11,"pdam_00011721 unknown function"
"pdam_00024814",28.3439088737181,-2.42401903785766,0.322077980107402,-7.52618678572602,5.22435901033728e-14,1.85473752382509e-11,"pdam_00024814 Obsl1: Obscurin-like protein 1 (Rattus norvegicus)"
"pdam_00024079",18.090845240182,-6.3852922538997,0.853070789562877,-7.48506727931875,7.1510493639803e-14,2.49571622802913e-11,"pdam_00024079 unknown function"
