"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00025531",11.8346349432788,-24.6560893820176,3.41061380928995,-7.22922346554114,4.85763555237391e-13,3.46044783502162e-11,"pdam_00025531"," unknown function","","PF05049"
"pdam_00025532",4.76653263925972,-22.2944994800832,3.18941126458425,-6.99016139048767,2.74570207511709e-12,1.6822428311541e-10,"pdam_00025532"," unknown function","",""
"pdam_00024884",13.8642856897851,-21.8758834945791,1.84119995203072,-11.8813187402332,1.48013635074031e-32,2.46142328465654e-29,"pdam_00024884"," unknown function","",""
"pdam_00015134",1.44688730258057,-17.7934326831797,1.5592029719945,-11.4118770953975,3.6477144528272e-30,3.65031996315065e-27,"pdam_00015134"," unknown function","",""
"pdam_00011721",16.688472186829,-11.5402002601467,2.76491037837119,-4.17380626526673,2.99552510238625e-05,0.0002799064474284,"pdam_00011721"," unknown function","",""
"pdam_00008727",204.137981711196,-9.51263384593495,1.50150191370425,-6.33541240215073,2.36707269980343e-10,9.02008658549086e-09,"pdam_00008727"," unknown function","","PF00797"
"pdam_00017781",101.770492425911,-8.98600325109726,1.61583194302333,-5.56122391929191,2.67889209341236e-08,6.15266856208314e-07,"pdam_00017781"," Crygb: Gamma-crystallin B (Rattus norvegicus)","","PF00030"
"pdam_00007828",87.8761189637921,-8.58828946722405,1.14569656386769,-7.49612920041528,6.57300039108376e-14,5.59237259994434e-12,"pdam_00007828"," Perlucin-like protein (Mytilus galloprovincialis)","","PF00059"
"pdam_00025987",55.8097074904884,-8.58799225554795,1.44718371395603,-5.93427922987869,2.9513916723448e-09,8.69894754478625e-08,"pdam_00025987"," unknown function","",""
"pdam_00012248",16.189600398492,-8.50201438522828,1.98622434340986,-4.28049047603173,1.86481868155759e-05,0.000184767395534808,"pdam_00012248"," unknown function","",""
"pdam_00024460",19.2981116726759,-8.16813756770307,1.12371834476612,-7.2688477550868,3.62566739929057e-13,2.64560418041984e-11,"pdam_00024460"," unknown function","",""
"pdam_00024091",36.4402182622515,-8.15990261123165,1.4208247377024,-5.74307470492592,9.2972684300647e-09,2.45454894544987e-07,"pdam_00024091"," unknown function","",""
"pdam_00005812",64.8384119213582,-8.12586104988216,1.03817007269597,-7.82710007116708,4.99251697239551e-15,5.32577381598435e-13,"pdam_00005812"," unknown function","",""
"pdam_00002499",16.1200576844376,-7.76854866786455,1.58172520697474,-4.91144013739462,9.04098903190459e-07,1.36688046406817e-05,"pdam_00002499"," unknown function","",""
"pdam_00016925",8.38289376012351,-7.43400217602338,2.4397988112747,-3.04697343964169,0.00231158134266233,0.0106929081919544,"pdam_00016925"," MVP: Major vault protein (Strongylocentrotus purpuratus)","",""
"pdam_00016268",61.1545852043367,-7.41510454722599,0.94198474768132,-7.87178833359898,3.49607302506876e-15,3.88730024454074e-13,"pdam_00016268"," DELTA-alicitoxin-Pse2b (Phyllodiscus semoni)","","PF01823"
"pdam_00009495",10.8015574049705,-7.40821939418586,1.08171262871255,-6.84860211256211,7.45750948258435e-12,4.0184503019618e-10,"pdam_00009495"," NPTX2: Neuronal pentraxin-2 (Homo sapiens)","","PF00354"
"pdam_00005863",30.7920893045787,-7.20253532130616,1.25656208668327,-5.73193748055651,9.92898725958278e-09,2.58880480471628e-07,"pdam_00005863"," sox13: Transcription factor Sox-13 (Xenopus laevis)","","PF00505, PF07496"
"pdam_00024577",13.225305185229,-7.18832321673509,0.958263067954455,-7.50140901504172,6.31354467846181e-14,5.39346103324695e-12,"pdam_00024577"," unknown function","",""
"pdam_00004527",21.1312958431577,-7.01810970668726,1.23376837769443,-5.68835271965889,1.28270670814166e-08,3.22055931560299e-07,"pdam_00004527"," unknown function","",""
"pdam_00002500",13.2039002246876,-6.99482513889453,1.13953296586212,-6.13832626913303,8.33954474333371e-10,2.79960914985875e-08,"pdam_00002500"," ADAMTS9: A disintegrin and metalloproteinase with thrombospondin motifs 9 (Homo sapiens)","","PF00024, PF00092, PF08685"
"pdam_00000785",51.7361354161087,-6.89666823665719,0.916270654426806,-7.52688979324734,5.19631923372651e-14,4.56906479902772e-12,"pdam_00000785"," Ank1: Ankyrin-1 (Mus musculus)","K15502","PF12796"
"pdam_00020000",9.60460207530326,-6.72579539095973,1.00196735416725,-6.71258935032832,1.9120064924913e-11,9.25825263587667e-10,"pdam_00020000"," unknown function","",""
"pdam_00015397",111.139996195174,-6.67487291844841,1.0403489087328,-6.41599454031122,1.39906460531149e-10,5.66499858971501e-09,"pdam_00015397"," XDH: Xanthine dehydrogenase/oxidase (Gallus gallus)","K00106","PF00941, PF01315, PF01799, PF02738, PF03450"
"pdam_00005984",10.5535962566275,-6.55547037318141,1.06243138845378,-6.1702529164937,6.81808432797687e-10,2.34504160642282e-08,"pdam_00005984"," unknown function","",""
"pdam_00025912",18.944834502678,-6.51685108541368,1.91328263127809,-3.40610999069194,0.000658956254895012,0.00377518999994999,"pdam_00025912"," unknown function","",""
"pdam_00021420",10.1375428756219,-6.42534051514035,1.07001689409644,-6.00489632508665,1.91454201057999e-09,5.96060745960571e-08,"pdam_00021420"," unknown function","",""
"pdam_00020388",4.67928305185572,-6.30737234680538,1.1427233942086,-5.51959676223622,3.39778454563702e-08,7.58008940833992e-07,"pdam_00020388"," unknown function","",""
"pdam_00025274",11.6608462656498,-6.30232017057171,0.989991506100716,-6.36603458891752,1.93977706371343e-10,7.60895509461058e-09,"pdam_00025274"," unknown function","",""
"pdam_00000144",6.10907881699003,-6.23740636567596,1.17057574669691,-5.32849444666563,9.90302247098544e-08,1.93772827958807e-06,"pdam_00000144"," unknown function","",""
"pdam_00001399",3.97296960537168,-6.18637058654292,1.18191909402911,-5.23417433375568,1.65723982897277e-07,3.06305145170296e-06,"pdam_00001399"," Traf5: TNF receptor-associated factor 5 (Mus musculus)","",""
"pdam_00022219",5.95808639379981,-6.04842342539312,1.16412658901168,-5.19567500861577,2.03978337281351e-07,3.67948906263313e-06,"pdam_00022219"," unknown function","","PF10277"
"pdam_00024873",11.1065770343618,-5.94853065166585,1.05519475110926,-5.63737702960757,1.72659815204704e-08,4.18989147404948e-07,"pdam_00024873"," unknown function","",""
"pdam_00016260",3.09499947512307,-5.86334283121038,1.05975835584907,-5.53271677345041,3.15308391073771e-08,7.07927974189669e-07,"pdam_00016260"," DELTA-alicitoxin-Pse2b (Phyllodiscus semoni)","",""
"pdam_00003275",20.2792457762586,-5.77113841829947,1.53877163189137,-3.75048402159968,0.000176493552143992,0.00125686614649474,"pdam_00003275"," unknown function","",""
"pdam_00020039",2.93375207436897,-5.76860214704017,2.29176694713696,-2.5170980645509,0.0118325890356799,0.0397858973735701,"pdam_00020039"," unknown function","",""
"pdam_00019996",14.7945341169457,-5.74247151686118,0.943357913941308,-6.08726701922644,1.14854331564454e-09,3.70762485073273e-08,"pdam_00019996"," unknown function","","PF00350"
"pdam_00023350",13.3763385074237,-5.72236223555107,0.820879397542517,-6.97101456399347,3.14663391179141e-12,1.88394620103409e-10,"pdam_00023350"," unknown function","",""
"pdam_00025777",30.7394756716638,-5.71329876779947,0.693115061790926,-8.24292975691077,1.68044237268826e-16,2.38611462581377e-14,"pdam_00025777"," unknown function","",""
