"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00007246",111.833906700326,-5.72526940755244,0.922278991173761,-6.20774132593657,5.37515295258212e-10,9.46766003185433e-07,"pdam_00007246 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"pdam_00006194",48.1783906917489,-5.2069164068132,1.10434236230646,-4.71494763266922,2.41772922746771e-06,0.00117476629462923,"pdam_00006194 unknown function"
"pdam_00010997",175.070613900586,-4.98890904205363,0.809639109418584,-6.16189235922194,7.18807085498812e-10,1.12541229352931e-06,"pdam_00010997 unknown function"
"pdam_00011795",512.260144441447,-4.66813942009202,1.08401991696704,-4.30632255646459,1.65990964515022e-05,0.00570482605117359,"pdam_00011795 unknown function"
"pdam_00025189",289.422513595518,-3.83294199762976,0.551890158398672,-6.94511750082874,3.78145451374256e-12,1.33211188882866e-08,"pdam_00025189 slc23a2: Solute carrier family 23 member 2 (Xenopus tropicalis)"
"pdam_00009930",865.615401153222,-3.8225236340021,0.724300883542867,-5.2775355116295,1.30932836720301e-07,7.68296430940586e-05,"pdam_00009930 ZP domain-containing protein (Acropora millepora)"
"pdam_00020477",2205.38114864852,-3.29511741143216,0.499671215145189,-6.59457121314202,4.26486664515517e-11,1.00160393161469e-07,"pdam_00020477 Ufsp1: Ufm1-specific protease 1 (Mus musculus)"
"pdam_00003060",826.354061251945,-3.20105086581921,0.596068126824043,-5.3702768555584,7.86158559647974e-08,5.03534557454527e-05,"pdam_00003060 unknown function"
"pdam_00017205",170.628178283931,-3.06139921165428,0.572012620795795,-5.35197843606178,8.69977681678699e-08,5.32993717936285e-05,"pdam_00017205 gtpA: GTP-binding protein A (Dictyostelium discoideum)"
"pdam_00025045",288.410492381867,-2.59006147368847,0.491458458250342,-5.27015341827554,1.36309777684441e-07,7.68296430940586e-05,"pdam_00025045 unknown function"
"pdam_00009066",606.113591034029,-2.49167432957011,0.516823223232231,-4.82113461153523,1.42743988571586e-06,0.000744965015911933,"pdam_00009066 Orct: Organic cation transporter protein (Drosophila melanogaster)"
"pdam_00007672",632.933935058576,-2.33425497607649,0.491792111350718,-4.74642622807715,2.07042188680939e-06,0.00104193981453683,"pdam_00007672 OIT3: Oncoprotein-induced transcript 3 protein (Bos taurus)"
"pdam_00001996",165.105266208083,-2.27154252085037,0.543473830988669,-4.1796723067936,2.91929455941652e-05,0.00856995409098713,"pdam_00001996 SMARCAD1: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 (Bos taurus)"
"pdam_00003892",254.322317928136,-2.21223394016502,0.36466629699889,-6.06646119581418,1.30759300173459e-09,1.67502663522201e-06,"pdam_00003892 selenbp1: Selenium-binding protein 1 (Xenopus tropicalis)"
"pdam_00001676",86.8445387947734,-2.08557823056707,0.505152521448975,-4.12861094820395,3.64961326587789e-05,0.0098897501018241,"pdam_00001676 TkR86C: Tachykinin-like peptides receptor 86C (Drosophila melanogaster)"
"pdam_00014720",1748.06452031912,-2.00832236971583,0.312939813598127,-6.41759943109985,1.38439939826397e-10,2.78679598870536e-07,"pdam_00014720 unknown function"
"pdam_00023558",989.504723311735,-1.96692737234228,0.469840033118433,-4.18637671057391,2.83442779228904e-05,0.00852458391746389,"pdam_00023558 unknown function"
"pdam_00018863",203.541626139842,-1.78646885001938,0.412845631494167,-4.32720783202625,1.51011458293177e-05,0.00531975614702291,"pdam_00018863 SELENOH: Selenoprotein H (Macaca fascicularis)"
"pdam_00018720",320.083459627041,-1.63786329480347,0.372741054971761,-4.39410489656835,1.11230101159473e-05,0.00434416438403363,"pdam_00018720 Syt6: Synaptotagmin-6 (Rattus norvegicus)"
"pdam_00011923",273.373656729187,-1.63108555154222,0.370748060103225,-4.3994446015121,1.08528277165935e-05,0.00434416438403363,"pdam_00011923 Mfsd8: Major facilitator superfamily domain-containing protein 8 (Mus musculus)"
"pdam_00012894",1704.12150139601,-1.61321494825467,0.370114964593529,-4.35868609102674,1.30845634818124e-05,0.00472755343646715,"pdam_00012894 sod1: Superoxide dismutase [Cu-Zn] (Schizosaccharomyces pombe (strain 972 / ATCC 24843))"
"pdam_00002019",397.937518723419,-1.45516260012903,0.343159552754839,-4.2404840210543,2.23038313024846e-05,0.00730891364844909,"pdam_00002019 col2a1: Collagen alpha-1(II) chain (Xenopus tropicalis)"
"pdam_00001100",1060.29395515463,-1.39954437240331,0.326029458870186,-4.29269298931837,1.76519005853738e-05,0.0059222126463929,"pdam_00001100 SYNDIG1: Synapse differentiation-inducing gene protein 1 (Homo sapiens)"
