"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00000345",2717.75144802405,-3.91611767010041,1.0110893772334,-3.87316666387684,0.000107430307815746,0.0106008436094655,"pdam_00000345"," PXDN: Peroxidasin homolog (Homo sapiens)","","PF03098"
"pdam_00004499",13.002390310124,-2.69242912978953,0.355147835103357,-7.58115033703067,3.42504437762392e-14,3.83034129564275e-11,"pdam_00004499"," unknown function","",""
"pdam_00015433",38.610507474904,-2.26126292235813,0.275572201268595,-8.20570040065151,2.29250446835954e-16,3.20473020472761e-13,"pdam_00015433"," unknown function","",""
"pdam_00012809",138.294478949436,-2.1860563140652,0.428297504820295,-5.10406035398789,3.32442171657855e-07,0.000111534348591211,"pdam_00012809"," unknown function","",""
"pdam_00006151",41.2360658777532,-2.06765529505024,0.49006115936331,-4.21917806695097,2.45194565174438e-05,0.00370553047819927,"pdam_00006151"," Celsr1: Cadherin EGF LAG seven-pass G-type receptor 1 (Mus musculus)","","PF00008"
"pdam_00013037",154.812143248069,-2.05637961289908,0.234957439529161,-8.75213662959525,2.09350720793355e-18,3.51185834130854e-15,"pdam_00013037"," unknown function","",""
"pdam_00001393",17.27026789595,-1.939109359833,0.511893089526528,-3.7881139626764,0.000151795222971429,0.0136169244136135,"pdam_00001393"," Dmbt1: Deleted in malignant brain tumors 1 protein (Mus musculus)","","PF00431, PF03351"
"pdam_00020216",27.1562912252819,-1.89570992559211,0.49990644417745,-3.79212940275521,0.000149361046071988,0.0135893090184812,"pdam_00020216"," unknown function","",""
"pdam_00013543",21.786447493947,-1.85996847922066,0.543620228601965,-3.42144824890708,0.000622885779905647,0.0344848480459315,"pdam_00013543"," unknown function","",""
"pdam_00011012",63.3599332471036,-1.80464154764628,0.34269991011832,-5.26595278949217,1.3946412419344e-07,5.57026353177371e-05,"pdam_00011012"," Coadhesin (Fragment) (Acropora millepora)","","PF00090"
"pdam_00015432",15.2118867319025,-1.80370292111205,0.390775803138891,-4.61569756014543,3.9177714446674e-06,0.00083190653144678,"pdam_00015432"," unknown function","",""
"pdam_00009066",338.748143976697,-1.80126181996767,0.379403562266109,-4.74761441144373,2.05829960692843e-06,0.000523151150094309,"pdam_00009066"," Orct: Organic cation transporter protein (Drosophila melanogaster)","","PF00083, PF076903"
"pdam_00016575",21.2069504220821,-1.77615387550466,0.546264160936584,-3.25145598506663,0.00114815551692828,0.048743849457145,"pdam_00016575"," Sacs: Sacsin (Mus musculus)","",""
"pdam_00012801",75.1325990183149,-1.68357123911564,0.411077767473948,-4.09550545499237,4.21248307716289e-05,0.00554997659714803,"pdam_00012801"," Hephaestin-like protein (Acropora millepora)","","PF07731, PF07732"
"pdam_00017864",36.1232272458722,-1.54890714272895,0.252667971985349,-6.13020768148152,8.77644316026051e-10,4.90749446711233e-07,"pdam_00017864"," unknown function","",""
"pdam_00012676",155.15777306201,-1.53360916704006,0.329387104327649,-4.65594781001064,3.22493626206141e-06,0.000711819813106317,"pdam_00012676"," Inhbb: Inhibin beta B chain (Rattus norvegicus)","","PF00019"
"pdam_00007270",108.494288287268,-1.50489110790374,0.433105050145714,-3.47465610802145,0.00051150864019532,0.0304275086499167,"pdam_00007270"," unknown function","",""
"pdam_00007664",76.7300278060845,-1.50093706655552,0.424322376269912,-3.53725645993454,0.000404306866906143,0.0259541001352821,"pdam_00007664"," Mfsd12: Major facilitator superfamily domain-containing protein 12 (Mus musculus)","","PF13347"
