"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00002442",1893.86144165268,4.9835140325946,0.313578727922543,15.8923855122774,7.15519976170289e-57,1.50366522992186e-52,"pdam_00002442"," Meltf: Melanotransferrin (Mus musculus)","","PF00405"
"pdam_00020817",138.993158099388,4.44114839730158,0.29378574690089,15.1169634475148,1.25183423964824e-51,1.31536482731039e-47,"pdam_00020817"," drkD: Probable serine/threonine-protein kinase drkD (Dictyostelium discoideum)","","PF00069"
"pdam_00022766",9.82318113287474,18.9811006990257,1.2866966235632,14.7518073424814,2.99534387096425e-49,1.3515693923302e-45,"pdam_00022766"," unknown function","",""
"pdam_00024927",64.7903471317251,23.556278287903,1.59735898835775,14.7470158302495,3.21572541596526e-49,1.3515693923302e-45,"pdam_00024927"," NOTCH2: Neurogenic locus notch homolog protein 2 (Homo sapiens)","","PF00008, PF12661"
"pdam_00025232",13.2554741575113,18.1065521527636,1.22759958125689,14.7495587561418,3.09682778933855e-49,1.3515693923302e-45,"pdam_00025232"," Samd9l: Sterile alpha motif domain-containing protein 9-like (Mus musculus)","",""
"pdam_00000680",204.488821722493,2.93588559703148,0.211646060197943,13.871676110038,9.40530218827059e-44,3.29420709144177e-40,"pdam_00000680"," unknown function","",""
"pdam_00022278",269.834836738237,7.40197234021501,0.534180555880374,13.8566862060637,1.15902771013682e-43,3.47956676121791e-40,"pdam_00022278"," unknown function","",""
"pdam_00024204",7.95587222739605,18.2520007127667,1.32829750557109,13.7408981317927,5.77548569243256e-43,1.51714789783088e-39,"pdam_00024204"," unknown function","",""
"pdam_00018452",1107.37983502813,3.09839070445444,0.228593986269803,13.5541216766634,7.49033539970059e-42,1.74899331583009e-38,"pdam_00018452"," unknown function","",""
"pdam_00025497",352.660434672379,2.14455158521995,0.170990222366614,12.5419544786713,4.40007809763827e-36,9.24676412218682e-33,"pdam_00025497"," unknown function","",""
"pdam_00023343",2.79807385729438,18.2312757591751,1.51744428887477,12.0144613498096,2.98307084192695e-33,5.69902124937226e-30,"pdam_00023343"," unknown function","",""
"pdam_00016794",68.1731855780695,4.06350571946019,0.342243419481894,11.873144925947,1.6321452658404e-32,2.46142328465654e-29,"pdam_00016794"," nphp3: Nephrocystin-3 (Danio rerio)","","PF13181, PF13374, PF13424"
"pdam_00021005",123.805906998094,3.40720751793801,0.286976998959195,11.8727547165635,1.63977758673289e-32,2.46142328465654e-29,"pdam_00021005"," unknown function","",""
"pdam_00024884",13.8642856897851,-21.8758834945791,1.84119995203072,-11.8813187402332,1.48013635074031e-32,2.46142328465654e-29,"pdam_00024884"," unknown function","",""
"pdam_00019989",393.774978388816,-2.67025751133082,0.225370439051389,-11.8483041634487,2.19589631596797e-32,3.07645073867112e-29,"pdam_00019989"," HMCN1: Hemicentin-1 (Homo sapiens)","","PF13895, PF13927"
"pdam_00020489",79.2072027751678,4.07460299177686,0.34487603196828,11.8146887985293,3.27760293424755e-32,4.30492660395076e-29,"pdam_00020489"," FBN1: Fibrillin-1 (Homo sapiens)","K23342","PF07645, PF12947"
"pdam_00021143",2572.95226489198,4.79640648044848,0.409764500679328,11.7052757681467,1.19769218444391e-31,1.48055889741698e-28,"pdam_00021143"," MCM8: DNA helicase MCM8 (Gallus gallus)","K10737","PF00493, PF17207"
"pdam_00013802",11.3959611808535,20.7352408631695,1.77935024770038,11.6532655051851,2.20831252150754e-31,2.57820486886006e-28,"pdam_00013802"," unknown function","","PF01852"
"pdam_00008194",1042.71752967433,1.90350955595292,0.166298755248515,11.4463247371174,2.45327941061338e-30,2.71345614810738e-27,"pdam_00008194"," unknown function","","PF00020"
"pdam_00020609",54.4655142002366,-5.13688192252166,0.448991761852018,-11.4409268921391,2.61081211859399e-30,2.74331083361263e-27,"pdam_00020609"," unknown function","",""
"pdam_00015134",1.44688730258057,-17.7934326831797,1.5592029719945,-11.4118770953975,3.6477144528272e-30,3.65031996315065e-27,"pdam_00015134"," unknown function","",""
"pdam_00022335",794.327179484172,1.28514390429326,0.113212613855004,11.351596439061,7.28208228778311e-30,6.95604360353464e-27,"pdam_00022335"," NLRP3: NACHT%2C LRR and PYD domains-containing protein 3 (Bos taurus)","","PF13516"
"pdam_00013803",9.15867600866809,20.6403036255948,1.83995264975802,11.2178449963423,3.33293322212203e-29,3.04528659403889e-26,"pdam_00013803"," unknown function","",""
"pdam_00007121",35.9922923806221,-2.84245906140749,0.254816925985852,-11.1549068038177,6.77637876810646e-29,5.93356665882322e-26,"pdam_00007121"," Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)","",""
"pdam_00008886",253.015283745699,2.08146331203889,0.187870209620922,11.0792622004244,1.58170548257861e-28,1.32958162865558e-25,"pdam_00008886"," CASP7: Caspase-7 (Homo sapiens)","K02187","PF00656"
"pdam_00004359",222.713051771905,3.03466071972129,0.274476242087461,11.0561872191266,2.04611604915794e-28,1.65381264511746e-25,"pdam_00004359"," MIM1: Myeloid protein 1 (Gallus gallus)","","PF01551"
"pdam_00023590",270.402624080507,-3.58714288145462,0.325497056497204,-11.0205078966219,3.04337000553424e-28,2.36875632097415e-25,"pdam_00023590"," ZP domain-containing protein (Acropora millepora)","","PF00100"
"pdam_00021243",72.2676203513357,5.01298102959852,0.458492840712818,10.9336080838358,7.96183909152133e-28,5.97564458958288e-25,"pdam_00021243"," unknown function","",""
"pdam_00014228",138.149954257731,4.02943943223883,0.370232938631585,10.8835249697988,1.38116448644636e-27,1.00086798905759e-24,"pdam_00014228"," pats1: Probable serine/threonine-protein kinase pats1 (Dictyostelium discoideum)","","PF08477, PF16095"
"pdam_00025983",122.395699536601,1.99065929391733,0.182970109860473,10.8796966643095,1.44041492265414e-27,1.00901065331923e-24,"pdam_00025983"," TRAPPC11: Trafficking protein particle complex subunit 11 (Bos taurus)","",""
"pdam_00013884",113.292951599629,7.25447100891786,0.670105674981895,10.8258611734841,2.59626938774484e-27,1.76001939301476e-24,"pdam_00013884"," NWD1: NACHT domain- and WD repeat-containing protein 1 (Homo sapiens)","","PF00400, PF05729, PF13271"
