"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00018374",40.7764276109229,8.6957882975191,1.02610080275709,8.47459457604351,2.35899623097493e-17,8.69724663051547e-15,"pdam_00018374 unknown function"
"pdam_00018375",174.606057468538,8.64527133944115,1.10050501967685,7.85573094612485,3.97447424079063e-15,1.01858019719774e-12,"pdam_00018375 Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"pdam_00015159",104.159044620794,8.55738840594132,1.57658741130975,5.42779191597898,5.70555020690766e-08,2.62367915969725e-06,"pdam_00015159 unknown function"
"pdam_00012248",16.189600398492,8.09445097026364,1.9289721826984,4.1962507509779,2.71369797311592e-05,0.000451173757160055,"pdam_00012248 unknown function"
"pdam_00025912",18.944834502678,6.46123858135494,1.89198811973464,3.41505240649247,0.000637697409305279,0.00576213501275461,"pdam_00025912 unknown function"
"pdam_00023550",17.8728901973276,6.39672194643535,0.980741507382235,6.52233223360688,6.92224711313348e-11,7.34702136780304e-09,"pdam_00023550 unknown function"
"pdam_00009826",25.7869553649047,6.35535479218413,0.946574912964524,6.71405369521167,1.89290600920908e-11,2.24742484652705e-09,"pdam_00009826 MATN1: Cartilage matrix protein (Gallus gallus)"
"pdam_00008727",204.137981711196,5.82878886590778,1.3929609481057,4.18445963889685,2.85845226114404e-05,0.000468567661996428,"pdam_00008727 unknown function"
"pdam_00002499",16.1200576844376,5.82393627298878,1.4106326651054,4.12859876072246,3.64980668402447e-05,0.000578000659116611,"pdam_00002499 unknown function"
"pdam_00005812",64.8384119213582,5.78472598295394,0.852696348569666,6.7840398198695,1.16861096069629e-11,1.47056043946302e-09,"pdam_00005812 unknown function"
"pdam_00023390",5.58031446760554,5.78156553044564,1.0252987032328,5.63890845878977,1.71131475615339e-08,9.10462774697809e-07,"pdam_00023390 unknown function"
"pdam_00007827",216.811593319962,5.78037200934593,0.867449104336789,6.66364398838745,2.67120085498598e-11,3.08435637184233e-09,"pdam_00007827 Perlucin-like protein (Mytilus galloprovincialis)"
"pdam_00022914",2.25863585776827,5.7237364043277,1.25944602265643,4.54464605974551,5.50276395156212e-06,0.000120710422173359,"pdam_00022914 unknown function"
"pdam_00003925",22.9220876291981,5.66198218100961,0.961769453939635,5.88704721055216,3.93156435465484e-09,2.53715526874869e-07,"pdam_00003925 unknown function"
"pdam_00025987",55.8097074904884,5.47679824419756,1.23029057174427,4.45162985881679,8.52209711224005e-06,0.000172574713367168,"pdam_00025987 unknown function"
"pdam_00024091",36.4402182622515,5.37734006675091,1.25761983894736,4.27580728310694,1.90445917400729e-05,0.000337171099762116,"pdam_00024091 unknown function"
"pdam_00023450",32.1334451331753,5.11132913622335,1.15344401690964,4.4313629975019,9.36392999794087e-06,0.000185205250237139,"pdam_00023450 unknown function"
"pdam_00025859",3.58207110299813,5.06712688204098,1.17577716572511,4.30959796613848,1.6355159645431e-05,0.000296808013772653,"pdam_00025859 unknown function"
"pdam_00010442",37.8363975790994,5.04474547647931,1.30964398845368,3.85199758175177,0.000117158180258579,0.00148139540200604,"pdam_00010442 unknown function"
"pdam_00003140",72.5661287170088,4.98252256320588,1.12313902880945,4.43624737045019,9.15406499883251e-06,0.000182343768673427,"pdam_00003140 unknown function"
"pdam_00007470",2.8401191928356,4.8661603598459,1.05707561885438,4.60341745949988,4.15613959467214e-06,9.56640455443976e-05,"pdam_00007470 Hapln3: Hyaluronan and proteoglycan link protein 3 (Mus musculus)"
"pdam_00012098",2.66015672283201,4.86539383541098,0.999129524329275,4.86963273222975,1.11805860386235e-06,3.24530408289603e-05,"pdam_00012098 REJ: Sperm receptor for egg jelly (Strongylocentrotus purpuratus)"
"pdam_00003924",372.312821344693,4.82165036021247,1.10532564638423,4.36219893746715,1.28761704927087e-05,0.000243997044999344,"pdam_00003924 unknown function"
"pdam_00018713",48.2615748196923,4.81385485977326,0.8909125241816,5.40328565275846,6.54311338057615e-08,2.94440102125927e-06,"pdam_00018713 qor: Quinone oxidoreductase (Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720))"
"pdam_00025395",40.6661358133346,4.70390258396207,1.10192472812492,4.26880572139116,1.965223395509e-05,0.000345310783082121,"pdam_00025395 unknown function"
"pdam_00024065",6.64659292670869,4.62405393530264,1.05111678213276,4.39918191194725,1.08659716246668e-05,0.000210628354898482,"pdam_00024065 Npun_R6513: Bacterial dynamin-like protein (Nostoc punctiforme (strain ATCC 29133 / PCC 73102))"
"pdam_00025409",11.2820980401316,4.59836808102612,0.834000390206317,5.51362821291794,3.51510748667458e-08,1.69426568423088e-06,"pdam_00025409 unknown function"
"pdam_00005022",4.34746459373468,4.57747057668046,1.11140551924443,4.11863221607211,3.8112787159916e-05,0.000598998045706182,"pdam_00005022 GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)"
"pdam_00024068",2.21174270793174,4.51973289833826,1.16761568164109,3.87090801314499,0.000108430705833868,0.00139710072538243,"pdam_00024068 unknown function"
"pdam_00020000",9.60460207530326,4.47255308947984,0.807222696067843,5.54066815919153,3.01319732411052e-08,1.48234678948629e-06,"pdam_00020000 unknown function"
"pdam_00013632",3.26107255269501,4.42911814422936,0.99016804601655,4.47309743234769,7.70946274568337e-06,0.000159235339717694,"pdam_00013632 unknown function"
"pdam_00006123",1152.60146238693,4.42634803316166,1.12509647225116,3.93419421563481,8.34762663025355e-05,0.00112845716450286,"pdam_00006123 Kctd21: BTB/POZ domain-containing protein KCTD21 (Mus musculus)"
"pdam_00008866",1.74093642204091,4.40971266312532,1.16702531521096,3.77859212276658,0.000157717507036996,0.0018768026106356,"pdam_00008866 PXDN: Peroxidasin homolog (Homo sapiens)"
"pdam_00015345",6.62854234654124,4.40680750924719,1.16910740035578,3.76937782440357,0.000163654993749965,0.00193649194462585,"pdam_00015345 GFP-like non-fluorescent chromoprotein (Montipora efflorescens)"
"pdam_00017476",89.5458112580903,4.3891700102052,1.15489479384904,3.80049337271404,0.000144408280444969,0.00175204611993865,"pdam_00017476 unknown function"
"pdam_00013778",2.56696211226618,4.3826636877761,1.01287299610357,4.32696271362332,1.51179541133596e-05,0.000277956085470038,"pdam_00013778 Hmcn1: Hemicentin-1 (Mus musculus)"
"pdam_00015397",111.139996195174,4.35624993329803,1.0014957389143,4.34974385215114,1.36296644406308e-05,0.000255738748410585,"pdam_00015397 XDH: Xanthine dehydrogenase/oxidase (Gallus gallus)"
"pdam_00022694",26.1034527752566,4.33829526348235,1.2400479816027,3.49848983897812,0.000467900917933967,0.00452505190537612,"pdam_00022694 unknown function"
"pdam_00021887",10.5848601065913,4.3006958247986,0.794642426485631,5.41211453284563,6.22848281302319e-08,2.82703166988515e-06,"pdam_00021887 SLC18B1: MFS-type transporter SLC18B1 (Homo sapiens)"
"pdam_00011599",6.56763320087779,4.30011705692988,1.31353620757804,3.2736951080006,0.0010615107957229,0.00863967830058742,"pdam_00011599 Tl: Protein toll (Drosophila melanogaster)"
"pdam_00000464",2.07460290846322,4.2314157871475,1.20062271202459,3.52435094286374,0.000424521586053205,0.00420817034476797,"pdam_00000464 unknown function"
"pdam_00016744",21.7994954973482,4.21697738446784,0.815344670238638,5.17201809050104,2.31579157550027e-07,8.70596779233242e-06,"pdam_00016744 unknown function"
"pdam_00010440",10.4525778300176,4.21594671445374,0.958385847818638,4.39900768990858,1.08746973621153e-05,0.000210628354898482,"pdam_00010440 unknown function"
"pdam_00023417",2.51682102105185,4.21557963842486,1.16757832483803,3.61053262872934,0.000305568856240228,0.00321764959086831,"pdam_00023417 unknown function"
"pdam_00000010",2.78416706015554,4.20586741110548,1.30451665731324,3.22408103225588,0.00126377633302729,0.00992832136021251,"pdam_00000010 unknown function"
"pdam_00000072",20.9144101642136,4.16517371024796,0.853193529970188,4.88186274735757,1.05088392985455e-06,3.09304282715594e-05,"pdam_00000072 unknown function"
"pdam_00017169",52.1998320291783,4.15161811341886,0.869268409333917,4.77599101593955,1.78824376356856e-06,4.78725384603736e-05,"pdam_00017169 unknown function"
"pdam_00014453",1.93580470007728,4.14965119517219,1.02348785477545,4.05442153105235,5.02585172133109e-05,0.000749065772509028,"pdam_00014453 unknown function"
"pdam_00011826",4.08923945115126,4.1238597293982,0.897479445625026,4.5949350143905,4.3288415554229e-06,9.88810927034915e-05,"pdam_00011826 unknown function"
"pdam_00012449",2.17132244782419,4.1093034321112,1.14880615362056,3.57702073509998,0.00034753261580167,0.00357483990262951,"pdam_00012449 unknown function"
"pdam_00009003",5.65466699411273,4.1079379473999,0.843879368207197,4.86792082158274,1.12778495107081e-06,3.26451800919464e-05,"pdam_00009003 unknown function"
"pdam_00003931",227.618767933745,4.08129482051061,0.713255366300203,5.7220667566528,1.05235939319633e-08,5.99331508076449e-07,"pdam_00003931 unknown function"
"pdam_00018971",37.3685367403266,4.06159649025167,0.661303166093982,6.14180711434013,8.15878952055603e-10,6.30741811139998e-08,"pdam_00018971 TRPC5: Short transient receptor potential channel 5 (Oryctolagus cuniculus)"
"pdam_00005863",30.7920893045787,4.05879514638663,1.1039222140083,3.67670393337705,0.000236266985778839,0.00260911755446258,"pdam_00005863 sox13: Transcription factor Sox-13 (Xenopus laevis)"
"pdam_00023883",558.982418423673,4.05864145921592,0.637369970658128,6.36779523049242,1.91764692938298e-10,1.74188304783613e-08,"pdam_00023883 Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"pdam_00023843",5.84061957684545,4.0474307306705,1.03061012480449,3.92721809465855,8.59340519894974e-05,0.00115660539849994,"pdam_00023843 unknown function"
"pdam_00008952",103.085216877149,4.03424101293502,1.09740079750153,3.67617831344741,0.000236754067925476,0.00261188071202816,"pdam_00008952 RAB10: Ras-related protein Rab-10 (Pongo abelii)"
"pdam_00013543",21.786447493947,4.02994013117014,0.647086516699411,6.22782275193373,4.72961703477555e-10,3.91310637739403e-08,"pdam_00013543 unknown function"
"pdam_00003090",1.63533488470134,4.02309773212835,1.19390061326987,3.36970907579135,0.000752475823683549,0.0065861222135401,"pdam_00003090 unknown function"
"pdam_00020608",467.842283814801,4.01448779198687,0.357813097920367,11.219510452019,3.27075998719003e-29,5.28730931775373e-26,"pdam_00020608 unknown function"
"pdam_00014870",2.94394926993584,4.01257009665662,0.922235459222573,4.3509171725398,1.35569259914927e-05,0.000254828980063702,"pdam_00014870 unknown function"
"pdam_00010282",133.459903061403,4.01127520809824,0.943924312750149,4.24957293070594,2.141784688895e-05,0.00037198020857131,"pdam_00010282 fut-3: Alpha-(1%2C3)-fucosyltransferase fut-3 (Caenorhabditis elegans)"
"pdam_00023851",2.78415042397376,4.00974822991142,1.12415568326785,3.56689761889149,0.00036123252898649,0.00368509786245198,"pdam_00023851 unknown function"
"pdam_00019259",1.86703215355074,3.9945496629729,1.04170651956488,3.83462096852521,0.000125758069420058,0.0015721628964084,"pdam_00019259 ddaC: Dapdiamide synthesis protein DdaC (Enterobacter agglomerans)"
