"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00004604",28.96973214856,3.19874557108358,0.524554885473231,6.09801883400211,1.07391096260829e-09,1.27557609980095e-06,"pdam_00004604 unknown function"
"pdam_00009540",1089.19777670614,3.03382260682768,0.225948974554549,13.42702533972,4.19944069958e-41,6.98324993933159e-37,"pdam_00009540 Hlf: Hepatic leukemia factor (Rattus norvegicus)"
"pdam_00002776",243.072388090172,3.01227582133729,0.263301221627546,11.4404171872712,2.6261964734092e-30,2.18355105781608e-26,"pdam_00002776 unknown function"
"pdam_00002777",125.596180657746,2.68931177175504,0.273258693581491,9.84163298340969,7.44917771873459e-23,2.47744752569675e-19,"pdam_00002777 Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)"
"pdam_00017095",31.7921888773609,2.45267292881692,0.423878639786455,5.78626214817654,7.19698705203430e-09,7.47991860551739e-06,"pdam_00017095 Faxc: Failed axon connections homolog (Rattus norvegicus)"
"pdam_00020672",625.686456725225,2.36553258197811,0.232467131687285,10.1757722255558,2.54374223325483e-24,1.05749723991987e-20,"pdam_00020672 unknown function"
"pdam_00020671",2838.52573810862,2.34110353753004,0.291751423197026,8.02430888554411,1.02099104800531e-15,2.42543716246861e-12,"pdam_00020671 unknown function"
"pdam_00021043",22.5579298079187,2.11268144976747,0.474465312351331,4.45276270945404,8.47724227306891e-06,0.00288818827963586,"pdam_00021043 yvmC: Cyclo(L-leucyl-L-leucyl) synthase (Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46))"
"pdam_00006473",2948.61182723491,2.06048797254906,0.197964845629949,10.4083528870609,2.27117108143361e-25,1.25891013043865e-21,"pdam_00006473 CRY1: Cryptochrome-1 (Sylvia borin)"
"pdam_00014210",1175.78801508177,1.80095994627299,0.377928634555577,4.76534398720758,1.8853172839827e-06,0.000847322732847252,"pdam_00014210 FIBCD1: Fibrinogen C domain-containing protein 1 (Homo sapiens)"
"pdam_00015600",106.028113475831,1.60606013622815,0.377529199241682,4.25413488401465,2.09858777799435e-05,0.00562861550972065,"pdam_00015600 unknown function"
"pdam_00005388",155.352251152727,1.55542368198055,0.252035737536976,6.17144099158698,6.76703868862832e-10,8.65608356563079e-07,"pdam_00005388 Lonrf3: LON peptidase N-terminal domain and RING finger protein 3 (Mus musculus)"
"pdam_00013941",614.785116567801,1.52397402526212,0.279007002389514,5.46213540237437,4.70441029293112e-08,3.72522089338817e-05,"pdam_00013941 Matn2: Matrilin-2 (Mus musculus)"
"pdam_00025131",287.649207470293,1.51472948450746,0.36730124992018,4.12394317971048,3.72440808174184e-05,0.00858876246518967,"pdam_00025131 unknown function"
"pdam_00022364",123.873511272781,1.48164438519429,0.350580460137851,4.22626059824239,2.37606806196304e-05,0.00627168822260053,"pdam_00022364 Gnmt: Glycine N-methyltransferase (Rattus norvegicus)"
"pdam_00018888",174.412710625352,1.4775280084508,0.209873856693796,7.04007650941728,1.92134302894304e-12,3.19500132282938e-09,"pdam_00018888 Tef: Thyrotroph embryonic factor (Mus musculus)"
"pdam_00019490",51.8316297606856,1.3950613524224,0.341952448722365,4.0796939973226,4.50950228862373e-05,0.00999846847433652,"pdam_00019490 unknown function"
"pdam_00002052",124.095155726333,1.38105823009665,0.320506582784439,4.30898553813947,1.64005090878422e-05,0.00462244179019877,"pdam_00002052 BBta_2883: UPF0317 protein BBta_2883 (Bradyrhizobium sp. (strain BTAi1 / ATCC BAA-1182))"
"pdam_00009903",120.233394222098,1.29398501613663,0.313606484324215,4.12614241355697,3.68898876467913e-05,0.00858876246518967,"pdam_00009903 unknown function"
"pdam_00011625",61.5266108570088,1.2747671661588,0.29198950163788,4.36579794481701,1.26659523391274e-05,0.00382818348305027,"pdam_00011625 unknown function"
"pdam_00006876",508.153500523447,1.26929164333007,0.251707568835911,5.04272338412489,4.58952481559089e-07,0.000272568600565932,"pdam_00006876 unknown function"
"pdam_00025647",415.535147435973,1.26763381811102,0.277674764600615,4.56517472855079,4.99078477082881e-06,0.00188617636259346,"pdam_00025647 unknown function"
"pdam_00006916",4159.36397279727,1.25953519176298,0.22700510956726,5.54848828805675,2.88150183316795e-08,2.52192073598683e-05,"pdam_00006916 DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)"
"pdam_00003108",150.586807889308,1.20281250143198,0.234148883489008,5.13695595515596,2.79224364580101e-07,0.0001857288783441,"pdam_00003108 COL1A2: Collagen alpha-2(I) chain (Fragment) (Oryctolagus cuniculus)"
"pdam_00007534",866.980186985938,1.18608515180805,0.271150423718504,4.37426995518691,1.21839529741064e-05,0.00382277271710217,"pdam_00007534 Npnt: Nephronectin (Mus musculus)"
"pdam_00025333",512.537924881952,1.17058659424964,0.274128888326603,4.27020516296326,1.95293235678537e-05,0.00532382166573506,"pdam_00025333 Pcsk5: Proprotein convertase subtilisin/kexin type 5 (Mus musculus)"
"pdam_00019494",757.967736751818,1.1608897326863,0.262276303410573,4.42620899254104,9.5903612073755e-06,0.00318956233034894,"pdam_00019494 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
