"","GNomExID","FlowCell","sample","condition","colony","Sequences","Poor-Quality Sequences","Sequence Length","%GC","TrimmedSequences","uniquely_mapped_percent","num_splices","num_GCAG_splices","insertion_length","deletion_length","unmapped_tooshort_percent","avg_mapped_read_length","deletion_rate","mismatch_rate","avg_input_read_length","num_ATAC_splices","num_annotated_splices","num_GTAG_splices","uniquely_mapped","multimapped_toomany","unmapped_mismatches","unmapped_mismatches_percent","total_reads","unmapped_other","insertion_rate","unmapped_other_percent","multimapped_percent","multimapped","num_noncanonical_splices","unmapped_tooshort","multimapped_toomany_percent","Unassigned_Ambiguity","Unassigned_MappingQuality","percent_assigned","Unassigned_Nonjunction","Unassigned_Duplicate","Unassigned_Chimera","Unassigned_Unmapped","Assigned","Unassigned_MultiMapping","Unassigned_Overlapping_Length","Unassigned_Secondary","Unassigned_FragmentLength","Unassigned_NoFeatures","Total"
"1","14827X96","FC1141-8","Hw1-3a","LPS","Houwan1",10971541,"0","50","43",10946659,68.08,548906,2240,1.41,1.63,30.3,49.42,0.03,1.33,49,322,456676,542581,7451939,4299,0,0,10946659,1095,0.02,0.01,1.58,172957,3763,3316369,0.04,377188,0,69.002292725,0,0,0,0,5454634,453065,0,0,0,1620117,7905004
"2","14827X97","FC1143-6","Hw1-3b","LPS","Houwan1",9199578,"0","50","45",9141258,59.67,370545,1482,1.42,1.7,38.62,49.32,0.04,1.75,49,208,306003,365681,5454525,5920,0,0,9141258,914,0.03,0.01,1.64,149802,3174,3530097,0.06,276652,0,68.1017384382,0,0,0,0,3989803,404067,0,0,0,1188070,5858592
"3","15565X3","FC1141-8","Hw1-3c","LPS","Houwan1",18981862,"0","50","44",18494512,61.44,812098,3195,1.4,1.63,37.09,49.39,0.03,1.28,49,398,672951,802709,11639513,6819,0,0,18945412,1894,0.02,0.01,1.43,270598,5796,7026588,0.04,629717,0,67.507508607,0,0,0,0,8333914,705653,0,0,0,2675882,12345166
"4","15565X10","FC1143-6","Hw1-6a","control","Houwan1",18833722,"0","50","43",18799781,67.11,881450,3433,1.39,1.59,31.35,49.37,0.03,1.24,49,604,717203,870758,12616833,7728,0,0,18799781,1880,0.02,0.01,1.49,279627,6655,5893713,0.04,698502,0,67.2211867715,0,0,0,0,8975875,735914,0,0,0,2942456,13352747
"5","15565X11","FC1143-6","Hw1-6b","control","Houwan1",18562124,"0","50","45",18342063,62.82,834620,3373,1.4,1.6,35.62,49.38,0.03,1.25,49,549,682668,824389,11522239,7795,0,0,18342063,1834,0.02,0.01,1.52,277936,6309,6532259,0.04,616440,0,67.9288015879,0,0,0,0,8322685,729832,0,0,0,2583114,12252071
"6","15565X12","FC1143-6","Hw1-6c","control","Houwan1",16512815,"0","50","45",16481147,58.37,637730,2658,1.38,1.62,40.17,49.36,0.03,1.36,49,534,521903,629167,9619641,6159,0,0,16481147,1648,0.02,0.01,1.42,233863,5371,6619836,0.04,500022,0,66.0367263217,0,0,0,0,6758573,614926,0,0,0,2361046,10234567
"7","15565X1","FC1141-7","Hw2-3a","LPS","Houwan2",20024561,"NA","NA","NA",19973485,55.58,858318,3828,1.43,1.67,42.88,49.31,0.03,1.58,49,479,710415,847409,11101118,9750,0,0,19973485,0,0.02,0,1.49,297581,6602,8565036,0.05,630549,0,68.6532296089,0,0,0,0,8166993,794889,0,0,0,2303576,11896007
"8","14827X92","FC1141-7","Hw2-3b","LPS","Houwan2",10602367,"0","50","46",10578951,65.59,624351,2646,1.43,1.67,32.59,49.32,0.03,1.55,49,284,522169,617769,6938621,4562,0,0,10578951,0,0.02,0,1.78,187793,3652,3447975,0.04,439746,0,71.6713900849,0,0,0,0,5324426,490321,0,0,0,1174449,7428942
"9","14827X99","FC1143-6","Hw2-3c","LPS","Houwan2",10474022,"0","50","41",10419147,80.51,620841,2804,1.44,1.67,17.15,49.34,0.04,1.7,49,389,512828,612373,8388893,7723,0,0,10419147,1042,0.03,0.01,2.26,235257,5275,1786232,0.07,463964,0,67.632140089,0,0,0,0,6099249,629377,0,0,0,1825680,9018270
"10","15565X13","FC1143-6","Hw2-6b","control","Houwan2",18646988,"0","50","45",18609554,66.62,770030,3579,1.42,1.67,31.24,49.31,0.04,1.65,49,428,620116,758013,12397447,13245,0,0,18609554,1861,0.03,0.01,2.06,383634,8010,5813367,0.07,683118,0,64.2022919044,0,0,0,0,8630022,1044475,0,0,0,3084307,13441922
