"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00025531",11.8346349432788,-24.6560889771096,3.41061380929531,-7.22922334680981,4.85763979884066e-13,3.43714816069483e-11,"pdam_00025531 unknown function"
"pdam_00025532",4.76653263925972,-22.2945012935668,3.18941126512117,-6.990161957906,2.74569097016441e-12,1.6676501658383e-10,"pdam_00025532 unknown function"
"pdam_00024884",13.8642856897851,-21.8758838435686,1.84119995202961,-11.881318929785,1.48013299400206e-32,2.70897028707664e-29,"pdam_00024884 unknown function"
"pdam_00015134",1.44688730258057,-17.8039640358161,1.58009720732377,-11.2676384423025,1.89586731700125e-29,1.81098416667187e-26,"pdam_00015134 unknown function"
"pdam_00011721",16.688472186829,-11.5402002929436,2.76491037836327,-4.17380627714053,2.99552494618595e-05,0.000281031056893293,"pdam_00011721 unknown function"
"pdam_00008727",204.137981711196,-9.51263386208058,1.50150191459358,-6.33541240915128,2.36707259232139e-10,8.98619166280508e-09,"pdam_00008727 unknown function"
"pdam_00017781",101.770492425911,-8.98600325136245,1.61583194302159,-5.56122391946201,2.67889209080091e-08,6.18647442727265e-07,"pdam_00017781 Crygb: Gamma-crystallin B (Rattus norvegicus)"
"pdam_00007828",87.8761189637921,-8.58828946722267,1.14569656386267,-7.49612920044694,6.57300038949677e-14,5.63802461980713e-12,"pdam_00007828 Perlucin-like protein (Mytilus galloprovincialis)"
"pdam_00025987",55.8097074904884,-8.58799225554795,1.44718371395603,-5.93427922987869,2.9513916723448e-09,8.71116516774241e-08,"pdam_00025987 unknown function"
"pdam_00012248",16.189600398492,-8.50201438515009,1.98622434340884,-4.28049047599456,1.86481868186906e-05,0.000185116507319218,"pdam_00012248 unknown function"
"pdam_00024460",19.2981116726759,-8.16768035708656,1.12701492780613,-7.24718027735971,4.25537414889452e-13,3.07308205288723e-11,"pdam_00024460 unknown function"
"pdam_00024091",36.4402182622515,-8.15990261123166,1.4208247377024,-5.74307470492592,9.29726843006441e-09,2.44839719370681e-07,"pdam_00024091 unknown function"
