"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00004604",32.6517303348959,3.74602238817832,0.362504708811429,10.3337206307214,4.95986107331339e-25,1.3866944917472e-21,"pdam_00004604"," unknown function","",""
"pdam_00002776",277.851769714737,3.40300338631124,0.248978116909992,13.6678814529771,1.57926412599786e-42,5.29843114272284e-39,"pdam_00002776"," unknown function","",""
"pdam_00002487",21.723105908128,3.14837107597857,0.39959733166793,7.87885910758509,3.30383770417503e-15,4.26322134519508e-12,"pdam_00002487"," PPP1R3B: Protein phosphatase 1 regulatory subunit 3B (Bos taurus)","K07189","PF03370"
"pdam_00009540",1063.22884050776,3.14149104723133,0.208009839848127,15.1026078839588,1.5565335937267e-51,6.92552632161075e-48,"pdam_00009540"," Hlf: Hepatic leukemia factor (Rattus norvegicus)","K09057","PF07716"
"pdam_00017095",58.167844248217,2.9039962772068,0.593345810992307,4.89427282270718,9.86698807630525e-07,0.000295569151750037,"pdam_00017095"," Faxc: Failed axon connections homolog (Rattus norvegicus)","","PF17171, PF17172, "
"pdam_00002777",152.060855666577,2.84907062044469,0.149880894786808,19.0088978618471,1.43945036314989e-80,2.41467798418393e-76,"pdam_00002777"," Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)","K03730","PF00010, PF075277"
"pdam_00020672",741.219286256066,2.63772971937907,0.153540374015731,17.1793883940183,3.78884636863971e-66,3.17789489169656e-62,"pdam_00020672"," unknown function","","PF01471, PF03734"
"pdam_00015523",28.7362142141668,2.49842760045102,0.363044215429557,6.88188241064485,5.90667632695076e-12,4.71830930402852e-09,"pdam_00015523"," CKMT2: Creatine kinase S-type%2C mitochondrial (Oryctolagus cuniculus)","","PF00217, PF02807"
"pdam_00017586",317.035355683662,2.18637698610956,0.546313437183084,4.00205603102684,6.27944226102945e-05,0.00731511416172007,"pdam_00017586"," Fat3: Protocadherin Fat 3 (Rattus norvegicus)","",""
"pdam_00007240",45.1923844314969,2.17585653106955,0.350234912591112,6.21256320499891,5.21272019952865e-10,3.01528901196873e-07,"pdam_00007240"," SCUBE1: Signal peptide%2C CUB and EGF-like domain-containing protein 1 (Homo sapiens)","","PF07699"
"pdam_00020671",3530.29373242434,2.15155551372818,0.213793642828774,10.0637020131199,7.99347439976031e-24,1.91557904365685e-20,"pdam_00020671"," unknown function","",""
"pdam_00019493",11.8312076270299,2.11843938629576,0.562496888673075,3.76613529595362,0.000165793972231794,0.0141897647152466,"pdam_00019493"," unknown function","",""
"pdam_00010714",600.238779012998,2.08401980443186,0.30727896442972,6.78217530542513,1.18379701845976e-11,8.63399781941845e-09,"pdam_00010714"," HEBP2: Heme-binding protein 2 (Homo sapiens)","","PF04832"
"pdam_00008024",38.2479691539185,2.06748889932488,0.292046568627795,7.07931241595871,1.44871453017626e-12,1.42954036727687e-09,"pdam_00008024"," unknown function","",""
"pdam_00016279",37.5057729052787,1.96686431934777,0.50359737351265,3.905628628737,9.39807506509361e-05,0.00944028198903864,"pdam_00016279"," DELTA-alicitoxin-Pse2b (Phyllodiscus semoni)","","PF01823"
"pdam_00025204",80.1413445380926,1.87919431017164,0.431215730566302,4.35789832551738,1.31317359005922e-05,0.00231878810244667,"pdam_00025204"," unknown function","",""
"pdam_00005388",147.693196856843,1.8572779274387,0.20083517481637,9.24777210534391,2.29220440396209e-20,4.27241431960711e-17,"pdam_00005388"," Lonrf3: LON peptidase N-terminal domain and RING finger protein 3 (Mus musculus)","","PF02190, PF13445, PF13923"
"pdam_00011633",545.197863327454,1.82411132042821,0.535334952095854,3.40742055658192,0.000655799959831287,0.0350190859080218,"pdam_00011633"," unknown function","",""
"pdam_00006473",3133.80104904044,1.80774449251629,0.119728428158132,15.0987073022349,1.65139226744817e-51,6.92552632161075e-48,"pdam_00006473"," CRY1: Cryptochrome-1 (Sylvia borin)","K02295","PF00875, PF03441"
"pdam_00012866",110.842074516155,1.75135881694831,0.51409578038794,3.40667806226055,0.000657586411983718,0.0350190859080218,"pdam_00012866"," ANK1: Ankyrin-1 (Homo sapiens)","","PF00023, PF12796"
"pdam_00012640",51.5294089832835,1.73939850817778,0.316795686429495,5.49060035438611,4.00569810756215e-08,1.81609691227987e-05,"pdam_00012640"," Tef: Thyrotroph embryonic factor (Rattus norvegicus)","K09062","PF07716"
"pdam_00025647",300.011430792605,1.71143349648183,0.273917921564365,6.24797927316224,4.15796834945863e-10,2.49106853793459e-07,"pdam_00025647"," unknown function","",""
"pdam_00014210",1697.12538581537,1.65310157936401,0.356325945441085,4.63929612904749,3.49597814993442e-06,0.000761623811235714,"pdam_00014210"," FIBCD1: Fibrinogen C domain-containing protein 1 (Homo sapiens)","","PF00147"
"pdam_00018888",127.46346824511,1.5876027226651,0.184886822700018,8.58688953317683,8.93554737956317e-18,1.36267097538338e-14,"pdam_00018888"," Tef: Thyrotroph embryonic factor (Mus musculus)","","PF07716"
"pdam_00015123",10.3196652889869,1.52848285771765,0.45797773766863,3.33746104231727,0.00084547573516524,0.0404069956051194,"pdam_00015123"," unknown function","",""
"pdam_00006916",4403.825819664,1.51344601789713,0.273838198992148,5.52678926266431,3.26144324038012e-08,1.52983834850234e-05,"pdam_00006916"," DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)","","PF00059, PF00431, PF00530, PF07645, PF07648, PF094585"
"pdam_00022364",84.5561544389233,1.46164979022149,0.207801005202331,7.03389181779132,2.00850875265791e-12,1.84807702735788e-09,"pdam_00022364"," Gnmt: Glycine N-methyltransferase (Rattus norvegicus)","K00552","PF13649"
"pdam_00012299",40.0061560618777,1.45292875465456,0.421396641438852,3.44788878642591,0.000564986622408651,0.0323574904813416,"pdam_00012299"," unknown function","","PF13895"
"pdam_00019490",48.1195388548304,1.43253449517917,0.322272263099179,4.44510638738497,8.78483836080555e-06,0.00161940289563201,"pdam_00019490"," unknown function","",""
"pdam_00017056",25.9718324038509,1.38946574649293,0.280499774517047,4.95353605501199,7.28768472509132e-07,0.000230662096723409,"pdam_00017056"," unknown function","",""
"pdam_00007534",568.116699127993,1.36955364649555,0.292610765983918,4.68046225807981,2.86228802897943e-06,0.000652947554029962,"pdam_00007534"," Npnt: Nephronectin (Mus musculus)","","PF00090"
"pdam_00025227",858.298302137241,1.36391421601167,0.252129986762448,5.40956763424067,6.31770884220161e-08,2.6494891456983e-05,"pdam_00025227"," unknown function","",""
"pdam_00015414",34.2362680190715,1.34786454622922,0.390934597046457,3.44780062039135,0.00056517107070242,0.0323574904813416,"pdam_00015414"," unknown function","",""
"pdam_00003672",12.5494413789169,1.33088765169919,0.38087639826704,3.49427703516056,0.000475347477133401,0.0289961961051375,"pdam_00003672"," unknown function","",""
"pdam_00019494",658.890737930783,1.32340406159916,0.354485318307009,3.73331134818113,0.000188978751638639,0.0153889250424183,"pdam_00019494"," MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)","","PF07690"
"pdam_00007538",499.939870816262,1.31149174107838,0.265668850455561,4.93656572394344,7.95102503824223e-07,0.000246997120400951,"pdam_00007538"," Hmcn1: Hemicentin-1 (Mus musculus)","K06841","PF00090"
"pdam_00019491",552.35821052539,1.27304710666027,0.324926855773609,3.91794979097467,8.93053013219496e-05,0.00913473432729088,"pdam_00019491"," MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)","","PF07690"
"pdam_00009522",533.767162834875,1.26055685912585,0.181708232100489,6.93725784767272,3.99783762741831e-12,3.3531863099971e-09,"pdam_00009522"," LCC4: Laccase-4 (Trametes versicolor)","","PF00394, PF07731, PF07732"
"pdam_00017026",17.1759933811798,1.24901417357618,0.353372109483727,3.534557878382,0.000408457969342144,0.0259541001352821,"pdam_00017026"," PRSS23: Serine protease 23 (Homo sapiens)","K09627","PF00089"
"pdam_00000102",318.095527004025,1.24692175374551,0.335631077285108,3.71515583071675,0.000203078504487678,0.0162221043465752,"pdam_00000102"," Lrp6: Low-density lipoprotein receptor-related protein 6 (Mus musculus)","","PF00008, PF00058, PF14670"
"pdam_00003029",17.5848474486375,1.24228639582701,0.327692915478758,3.79100779158449,0.000150037246747868,0.0135893090184812,"pdam_00003029"," Npffr2: Neuropeptide FF receptor 2 (Rattus norvegicus)","K04190","PF00001"
"pdam_00001302",49.8785051259175,1.23206039188399,0.273627592389234,4.50269061364029,6.7098528206799e-06,0.00127906569394211,"pdam_00001302"," ADAMTS6: A disintegrin and metalloproteinase with thrombospondin motifs 6 (Homo sapiens)","","PF01421, PF05986"
"pdam_00017049",247.003835648424,1.22351684789263,0.252597492419298,4.84374106874214,1.27416959632053e-06,0.000360020282905413,"pdam_00017049"," bhmt: Betaine--homocysteine S-methyltransferase 1 (Xenopus laevis)","K00544","PF02574"
"pdam_00017055",601.085574997426,1.21263153624275,0.239010251693869,5.0735544925325,3.90452592869483e-07,0.000128428279321286,"pdam_00017055"," MPEG1: Macrophage-expressed gene 1 protein (Homo sapiens)","","PF01823"
"pdam_00000370",219.237511395183,1.1964098740652,0.297934811807232,4.01567667372582,5.92754742119958e-05,0.00714519038210072,"pdam_00000370"," GHSR: Growth hormone secretagogue receptor type 1 (Homo sapiens)","K04231","PF00001"
