"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00002776",345.105293831227,4.877569968708,0.579426439427757,8.41792786246533,3.83201610059967e-17,5.399693887355e-13,"pdam_00002776"," unknown function","",""
"pdam_00002036",1261.76271910366,2.56237813875614,0.327722134497626,7.81875213489645,5.3349539998734e-15,3.7587418406108e-11,"pdam_00002036"," trpa-1: Transient receptor potential cation channel subfamily A member 1 homolog (Caenorhabditis elegans)","K04984","PF00023, PF00520, PF12796, PF13637, PF13857"
"pdam_00020672",1025.26368853521,3.24502976474451,0.457161724946845,7.09820964369187,1.26383374335109e-12,5.93622709252008e-09,"pdam_00020672"," unknown function","","PF01471, PF03734"
"pdam_00025189",289.422513595518,-3.83294198723389,0.551880926325791,-6.94523366254407,3.77834419285996e-12,1.33101620053974e-08,"pdam_00025189"," slc23a2: Solute carrier family 23 member 2 (Xenopus tropicalis)","K14611","PF00860"
"pdam_00009540",1004.80520093888,4.22474612186981,0.611389826261677,6.91006938682949,4.84416706184430e-12,1.36518316136896e-08,"pdam_00009540"," Hlf: Hepatic leukemia factor (Rattus norvegicus)","K09057","PF07716"
"pdam_00020477",2205.38114864852,-3.2951174110167,0.499646867460966,-6.5948925643452,4.25563922181725e-11,9.99436871243782e-08,"pdam_00020477"," Ufsp1: Ufm1-specific protease 1 (Mus musculus)","","PF07910"
"pdam_00014720",1748.06452031912,-2.00832235859011,0.312907735931123,-6.41825729432326,1.37843147006896e-10,2.77478254924881e-07,"pdam_00014720"," unknown function","","PF01699"
"pdam_00007246",111.833906700326,-5.72526947469295,0.922293849704368,-6.20764138948571,5.37857118236667e-10,9.4736808163411e-07,"pdam_00007246"," MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)","","PF07690, PF13347"
"pdam_00010997",175.070613900586,-4.98890904298284,0.809642410744895,-6.16186723518214,7.18921167593347e-10,1.12559090806198e-06,"pdam_00010997"," unknown function","","PF00435"
"pdam_00005388",107.310312872448,3.08670030764718,0.503275276669801,6.13322460040564,8.61154334207939e-10,1.21345257233241e-06,"pdam_00005388"," Lonrf3: LON peptidase N-terminal domain and RING finger protein 3 (Mus musculus)","","PF02190, PF13445, PF13923"
"pdam_00003892",254.322317928136,-2.21223393942284,0.364659261870661,-6.06657822997373,1.30664095926437e-09,1.67380706881766e-06,"pdam_00003892"," selenbp1: Selenium-binding protein 1 (Xenopus tropicalis)","K17285","PF05694"
