"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00017676",39.0294998711792,-5.0025572594087,0.746776271047789,-6.69887013467862,2.10037142464635e-11,3.88382013877384e-08,"pdam_00017676 MAM and fibronectin type III domain-containing protein 1 (Fragment) (Acropora millepora)"
"pdam_00003228",37.5862726544849,-4.95374338425929,0.743134821036244,-6.66600897176596,2.62853197800217e-11,4.37440291779122e-08,"pdam_00003228 unknown function"
"pdam_00016645",82.5985314446984,-4.82773230695941,0.566517068417983,-8.52177732339292,1.57123260707948e-17,1.30742265235084e-13,"pdam_00016645 GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)"
"pdam_00020801",23.820003891208,-3.91232235665096,0.897505772790056,-4.35910550690811,1.30595143103963e-05,0.00426149876771793,"pdam_00020801 unknown function"
"pdam_00012313",24.6689325238338,-3.76576110182666,0.844139242348715,-4.4610662707125,8.1552863977731e-06,0.00326249816384471,"pdam_00012313 unknown function"
"pdam_00016471",44.2049088143022,-3.25128393393894,0.732303937498952,-4.4398012457001,9.00419956369443e-06,0.00332995309197784,"pdam_00016471 unknown function"
"pdam_00006151",66.7291381308875,-3.09295398003306,0.442358685756984,-6.99195942030675,2.71073297083715e-12,6.4445740143817e-09,"pdam_00006151 Celsr1: Cadherin EGF LAG seven-pass G-type receptor 1 (Mus musculus)"
"pdam_00013037",74.5757445481331,-3.03896132346435,0.475594156360398,-6.38982057038032,1.66080517314909e-10,2.5126472446861e-07,"pdam_00013037 unknown function"
"pdam_00016155",228.218501345252,-2.96919740474361,0.367035174536176,-8.08968080101806,5.98212945101918e-16,1.99109196647722e-12,"pdam_00016155 unknown function"
"pdam_00012142",87.4243550531185,-2.84116167526912,0.593665824315494,-4.78579288027068,1.70313624372156e-06,0.00109013820646209,"pdam_00012142 unknown function"
"pdam_00013589",54.8607088561184,-2.6910697649817,0.481880149298793,-5.58452089984949,2.34345336252529e-08,2.59998339060973e-05,"pdam_00013589 unknown function"
"pdam_00004366",45.9180862804311,-2.58930035695627,0.530536794874178,-4.88052927143414,1.0580150809456e-06,0.000800340317140757,"pdam_00004366 dio3: Thyroxine 5-deiodinase (Xenopus laevis)"
"pdam_00014761",82.4347938232352,-2.57071365499776,0.570163035520308,-4.50873433534994,6.5215509954883e-06,0.0030130521778054,"pdam_00014761 unknown function"
"pdam_00004367",31.8661710793599,-2.46246758288421,0.569798061455594,-4.32164963249197,1.54866971419839e-05,0.0047727706266092,"pdam_00004367 DIO3: Thyroxine 5-deiodinase (Fragment) (Gallus gallus)"
"pdam_00012309",154.640628105464,-2.43280721931614,0.579093600528598,-4.2010604453157,2.65667642352988e-05,0.007131033716191,"pdam_00012309 CHS2: Chitin synthase 2 (Candida albicans)"
"pdam_00004365",575.946344421967,-2.36410082689586,0.516443382246189,-4.57765731572274,4.702121514211e-06,0.00230155018351469,"pdam_00004365 Dio1: Type I iodothyronine deiodinase (Rattus norvegicus)"
"pdam_00024670",940.978483249541,-2.12074653064741,0.474815748298339,-4.4664620713357,7.95237531545619e-06,0.00326249816384471,"pdam_00024670 unknown function"
