"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00015807",946.315106726909,-2.04040187965798,0.15017549677515,-13.5867829537662,4.79706337585956e-42,9.87763319723243e-38,"pdam_00015807"," HYDIN: Hydrocephalus-inducing protein homolog (Homo sapiens)","K17570",""
"pdam_00024174",84.7361886229917,-3.30573288398847,0.260104246751721,-12.7092614798555,5.25281679727331e-37,5.40803753363274e-33,"pdam_00024174"," unknown function","",""
"pdam_00012725",141.458615338029,-4.91068684933568,0.39175661614725,-12.5350450941456,4.80088301754778e-36,2.47137455535816e-32,"pdam_00012725"," RCHY1: RING finger and CHY zinc finger domain-containing protein 1 (Homo sapiens)","K10144","PF05495, PF139209"
"pdam_00023704",92.0510447667742,-3.83670613357089,0.305886216789961,-12.5429193045511,4.34682218474673e-36,2.47137455535816e-32,"pdam_00023704"," KIAA1958: Uncharacterized protein KIAA1958 (Homo sapiens)","","PF12012"
"pdam_00015159",104.159044620794,20.283127082312,1.6867894095745,12.0246943496216,2.63561605744647e-33,1.08539940477761e-29,"pdam_00015159"," unknown function","",""
"pdam_00021573",50.4134188280719,-9.99319681587281,0.888843739894648,-11.2429174750753,2.5094931149203e-29,8.61216212155398e-26,"pdam_00021573"," unknown function","",""
"pdam_00012844",69.9231738497039,-2.09905323758222,0.194750477291632,-10.7781673594512,4.36495322570073e-27,1.2839821695772e-23,"pdam_00012844"," Clpb: Caseinolytic peptidase B protein homolog (Mus musculus)","","PF00023, PF13857"
"pdam_00012843",513.125097179768,-2.67987281081035,0.249005385127541,-10.7623086522314,5.18545516910726e-27,1.33467134233859e-23,"pdam_00012843"," Clpb: Caseinolytic peptidase B protein homolog (Mus musculus)","K03695","PF07724, PF10431"
"pdam_00022198",133.404723331711,-2.78554089486958,0.261501446641637,-10.6521051055098,1.70465894737238e-26,3.9000702650383e-23,"pdam_00022198"," DD3-3: Protein DD3-3 (Dictyostelium discoideum)","",""
"pdam_00010592",200.303456570174,-1.85466349224633,0.176826276410742,-10.4886192815496,9.74418728202398e-26,2.00642560324156e-22,"pdam_00010592"," unknown function","",""
"pdam_00019670",84.2776890543521,-1.96285468858245,0.187525714565171,-10.4671228323745,1.22303893000403e-25,2.28941769161027e-22,"pdam_00019670"," ANK3: Ankyrin-3 (Homo sapiens)","","PF12796"
"pdam_00025367",31.4129015162251,20.195228859674,1.95593296978079,10.3251129623002,5.42549048232907e-25,9.30968954346983e-22,"pdam_00025367"," shkA: Dual specificity protein kinase shkA (Dictyostelium discoideum)","","PF07714"
"pdam_00019191",23.235365879023,-8.98688725503984,0.87571648646921,-10.2623250719807,1.04167887737058e-24,1.64993921261058e-21,"pdam_00019191"," unknown function","",""
"pdam_00021572",26.3360473047346,-9.0704909639264,0.898275158431119,-10.0976753935492,5.65671633528728e-24,8.31981757570716e-21,"pdam_00021572"," unknown function","","PF04905"
"pdam_00025531",11.8346349432788,32.0397676933843,3.2706910703445,9.79602383847568,1.17104942585962e-22,1.60753858185836e-19,"pdam_00025531"," unknown function","","PF05049"
"pdam_00016200",30.0067991948537,-7.54579635168036,0.774811517360462,-9.73887995029617,2.05810211020369e-22,2.64864878445026e-19,"pdam_00016200"," Parp12: Poly [ADP-ribose] polymerase 12 (Mus musculus)","K15259","PF00644, PF028259"
"pdam_00019580",189.536346990225,-2.99118332265718,0.30907411617705,-9.67788360816247,3.74385619702865e-22,4.53469076194217e-19,"pdam_00019580"," unknown function","",""
"pdam_00009332",285.943191452323,-1.65392016622631,0.173629070427214,-9.52559477601792,1.64099501505062e-21,1.87720713082818e-18,"pdam_00009332"," Top3a: DNA topoisomerase 3-alpha (Mus musculus)","K03165","PF01131, PF01396, PF01751, PF06839"
"pdam_00011986",413.411941645661,-3.65111470194032,0.386159380043515,-9.45494241659722,3.23199814042199e-21,3.50263545839101e-18,"pdam_00011986"," unknown function","",""
"pdam_00016253",783.124357477276,-1.44665401644496,0.154546976506352,-9.36061027622565,7.92774479308254e-21,8.16200965171813e-18,"pdam_00016253"," KIF16B: Kinesin-like protein KIF16B (Homo sapiens)","K17916","PF00225, PF00787"
"pdam_00016216",355.829496323401,-1.01755759738046,0.109333092944026,-9.30694970736275,1.31556147898444e-20,1.2899393530366e-17,"pdam_00016216"," mshA: D-inositol 3-phosphate glycosyltransferase (Nocardioides sp. (strain ATCC BAA-499 / JS614))","","PF13692"
"pdam_00021841",216.504140870013,-1.64500760077372,0.178564979134142,-9.21237528629816,3.18986633644173e-20,2.98556989698507e-17,"pdam_00021841"," gk5: Putative glycerol kinase 5 (Danio rerio)","K19583","PF00370, PF02782"
"pdam_00022881",96.7075164289716,-2.23318215047327,0.243998162368159,-9.15245479227714,5.56542369608259e-20,4.98250605765377e-17,"pdam_00022881"," cyp17a1: Steroid 17-alpha-hydroxylase/17%2C20 lyase (Ictalurus punctatus)","","PF00067"
"pdam_00003955",75.0257619281739,-5.37393256184563,0.587938782745685,-9.14029269637439,6.22835260883234e-20,5.34366702368612e-17,"pdam_00003955"," unknown function","","PF12588"
"pdam_00014815",22.785457447522,-3.20064406669561,0.351804249427126,-9.0977981985934,9.21815794302808e-20,7.59244360819565e-17,"pdam_00014815"," unknown function","",""
"pdam_00004213",97.6682988349986,-1.68585593232852,0.185979494916919,-9.06474089028809,1.24900754443478e-19,9.89165936440638e-17,"pdam_00004213"," ORF20: Ribonucleoside-diphosphate reductase small chain (Ostreid herpesvirus 1 (isolate France))","","PF026611"
"pdam_00001629",48.2101714920418,-2.93889362697528,0.327041014027326,-8.98631517430937,2.55658102079806e-19,1.94972443700936e-16,"pdam_00001629"," GABRB4: Gamma-aminobutyric acid receptor subunit beta-4 (Gallus gallus)","K05190","PF02931, PF02932"
"pdam_00016641",108.646482233694,-2.77788411624041,0.309490747525206,-8.97566127082415,2.8165477716897e-19,2.07126911310223e-16,"pdam_00016641"," unknown function","",""
"pdam_00025829",106.109723698584,-1.80037933021462,0.201657609716973,-8.92790176746347,4.34164909362082e-19,3.08272056850849e-16,"pdam_00025829"," unknown function","",""
"pdam_00023642",36.2053060307648,-3.73010406147008,0.42059905881743,-8.86855066190057,7.41040503857341e-19,4.92218226287952e-16,"pdam_00023642"," unknown function","",""
"pdam_00025532",4.76653263925972,27.2382166803938,3.07077399791807,8.87014697234666,7.30494264443886e-19,4.92218226287952e-16,"pdam_00025532"," unknown function","",""
"pdam_00022729",67.3788396911188,-2.04025669149782,0.232612492964855,-8.77105380494794,1.77001835542652e-18,1.13895149864336e-15,"pdam_00022729"," unknown function","","PF13181, PF13424"
"pdam_00020965",215.604403204594,-1.23355065019089,0.141960026283935,-8.6894225260543,3.64286416353033e-18,2.27303684821979e-15,"pdam_00020965"," Scyl3: Protein-associating with the carboxyl-terminal domain of ezrin (Mus musculus)","K17542",""
"pdam_00025437",574.599131622747,-1.34993957786703,0.15760298756055,-8.56544408682855,1.07660098515824e-17,6.52008555452745e-15,"pdam_00025437"," pats1: Probable serine/threonine-protein kinase pats1 (Dictyostelium discoideum)","","PF16095"
"pdam_00009910",111.043424114272,2.68685788658012,0.313832636148177,8.56143554589243,1.11470730830145e-17,6.55798233863864e-15,"pdam_00009910"," unknown function","",""
"pdam_00025970",13.0997872198944,-4.4585629814827,0.523867046520443,-8.51086742542168,1.72636935800947e-17,9.87435318077029e-15,"pdam_00025970"," unknown function","",""
"pdam_00009826",25.7869553649047,-7.88597486053461,0.929815685017646,-8.48122373885847,2.22837631712713e-17,1.24012153367472e-14,"pdam_00009826"," MATN1: Cartilage matrix protein (Gallus gallus)","","PF00090, PF00092"
"pdam_00005679",32.3259455662246,-7.43806740537103,0.880333294532288,-8.44914926149964,2.93433129420791e-17,1.59002146523776e-14,"pdam_00005679"," unknown function","","PF01936"
"pdam_00025574",14.3193790871632,-4.63157298378282,0.553190860941204,-8.3724683663476,5.64236734291365e-17,2.97902528097269e-14,"pdam_00025574"," unknown function","",""
"pdam_00016470",379.796883298481,-2.8477177320587,0.340640356667327,-8.35989534510677,6.27739182027098e-17,3.23144437427999e-14,"pdam_00016470"," DDB_G0289245: Putative uncharacterized protein DDB_G0289245 (Dictyostelium discoideum)","",""
"pdam_00022281",16.9679820719867,-3.50560422892441,0.427345284258538,-8.20321261999362,2.34046723101978e-16,1.17542831107142e-13,"pdam_00022281"," Edil3: EGF-like repeat and discoidin I-like domain-containing protein 3 (Mus musculus)","","PF00754"
"pdam_00019160",677.379650635384,-1.48936999987624,0.181696025932155,-8.19704224258799,2.46373885903434e-16,1.2078773058661e-13,"pdam_00019160"," ABCC4: Multidrug resistance-associated protein 4 (Homo sapiens)","K05673","PF00005, PF00664"
"pdam_00003954",28.7113299837852,-7.99808721431401,0.992112361874115,-8.06167478772818,7.52561910804727e-16,3.60372146636747e-13,"pdam_00003954"," unknown function","",""
"pdam_00021721",19.373318811071,-3.1798100120072,0.395265492223884,-8.04474479701382,8.64253362445869e-16,4.04450931502793e-13,"pdam_00021721"," SYNPCC7002_A1628: Uncharacterized protein SYNPCC7002_A1628 (Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6))","",""
"pdam_00024112",490.879560926166,-1.58058232765765,0.196970546740269,-8.02446027497631,1.01973281115498e-15,4.66607073655382e-13,"pdam_00024112"," Trpc2: Short transient receptor potential channel 2 (Rattus norvegicus)","","PF00092, PF00520, PF00622"
"pdam_00022361",1098.42144788501,-1.07081081604665,0.133901014097595,-7.99703290720545,1.27453184349965e-15,5.70519243250026e-13,"pdam_00022361"," Usp24: Ubiquitin carboxyl-terminal hydrolase 24 (Mus musculus)","K11840","PF00443, PF00627"
"pdam_00011989",29.9863811685774,-3.49846038746683,0.438068653933769,-7.9861007083053,1.39273922018984e-15,6.10167942189978e-13,"pdam_00011989"," unknown function","",""
"pdam_00004465",10.1959002670258,-5.07464505955836,0.636782102003026,-7.96920177812135,1.59702521368297e-15,6.85090545311375e-13,"pdam_00004465"," ANKRD39: Ankyrin repeat domain-containing protein 39 (Homo sapiens)","","PF13637"
"pdam_00011258",11.2544212695595,-4.39530341855731,0.5569384495632,-7.89190155932759,2.97616453469813e-15,1.25065722314223e-12,"pdam_00011258"," Hmcn1: Hemicentin-1 (Mus musculus)","","PF00431, PF13927"
"pdam_00025200",12.8213278962147,-5.31072289755547,0.674116316475225,-7.87805126172265,3.32526305098767e-15,1.36940982965774e-12,"pdam_00025200"," unknown function","","PF04434, PF09588"
"pdam_00024590",30.3596111564073,-3.29004091074144,0.420078615035409,-7.83196476322441,4.80304161384391e-15,1.93920450726784e-12,"pdam_00024590"," unknown function","",""
"pdam_00019779",14.5892698414093,-3.04202736276055,0.389111021836159,-7.81789050437498,5.3715882663178e-15,2.1270456536875e-12,"pdam_00019779"," unknown function","",""
"pdam_00023550",17.8728901973276,-7.47871746658712,0.957701016022109,-7.80903156775441,5.76290662914176e-15,2.23894359246525e-12,"pdam_00023550"," unknown function","",""
"pdam_00016201",189.928390695622,-2.11951068656172,0.274138247787528,-7.73153948297084,1.0625371068801e-14,4.05161140143853e-12,"pdam_00016201"," Tiparp: TCDD-inducible poly [ADP-ribose] polymerase (Mus musculus)","","PF00644, PF028259"
"pdam_00022278",269.834836738237,-2.8730862514613,0.375907493385152,-7.64306724930741,2.12107134103839e-14,7.940905451513e-12,"pdam_00022278"," unknown function","",""
"pdam_00024814",28.3439088737181,-2.42398999023641,0.321278779540866,-7.54481822204533,4.52918795741265e-14,1.66536623626935e-11,"pdam_00024814"," Obsl1: Obscurin-like protein 1 (Rattus norvegicus)","","PF07679"
"pdam_00011721",16.688472186829,20.1879426670441,2.67702213265605,7.54119378423453,4.6568849168435e-14,1.68227925127587e-11,"pdam_00011721"," unknown function","",""
"pdam_00024079",18.090845240182,-6.38540246854447,0.850699204492446,-7.50606375887492,6.09317491598802e-14,2.16318214991568e-11,"pdam_00024079"," unknown function","",""
"pdam_00007878",26.8660880758065,-2.48962624437864,0.33290123055838,-7.4785732699238,7.51338079996045e-14,2.6221698991862e-11,"pdam_00007878"," unknown function","",""
"pdam_00013037",154.812143248069,-2.30320117956893,0.30835405417976,-7.46933970333413,8.05982239601592e-14,2.7659967159394e-11,"pdam_00013037"," unknown function","",""
"pdam_00023686",372.222493553249,0.914641958330202,0.122645181538476,7.45762651949977,8.80949576251049e-14,2.97371028271891e-11,"pdam_00023686"," Rnh1: Ribonuclease inhibitor (Rattus norvegicus)","","PF05729, PF13516"
"pdam_00017124",264.062049476161,-1.56441589086837,0.210651284118555,-7.42656707465364,1.11452391376315e-13,3.70147772714467e-11,"pdam_00017124"," exosc6: Exosome complex component MTR3 (Danio rerio)","K12587","PF01138"
"pdam_00012870",132.199249086427,-5.68544016151069,0.765787363743056,-7.42430657737821,1.13372285582331e-13,3.7054741784536e-11,"pdam_00012870"," PSD3: Phosphatidylserine decarboxylase proenzyme 3 (Arabidopsis thaliana)","K01613","PF02666, PF12588"
