"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00020672",595.994284447438,2.43626193623306,0.255844017872828,9.5224502667248,1.69143014300682e-21,2.81487804399195e-17,"pdam_00020672"," unknown function","","PF01471, PF03734"
"pdam_00016645",82.5985314446984,-4.82772210343246,0.566335545979731,-8.52449071527156,1.53483620526066e-17,1.2771372063974e-13,"pdam_00016645"," GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)","","PF01353"
"pdam_00002777",148.506165034726,2.81215258553173,0.335370016436798,8.38522362675704,5.06294133377462e-17,2.80858232255591e-13,"pdam_00002777"," Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)","K03730","PF00010, PF075277"
"pdam_00010714",1042.279630596,3.01909620874079,0.364697840132131,8.2783495719277,1.24894138665236e-16,5.19622063916716e-13,"pdam_00010714"," HEBP2: Heme-binding protein 2 (Homo sapiens)","","PF04832"
"pdam_00016155",228.218501345252,-2.96919933621399,0.367135108897508,-8.08748404675973,6.09098058540321e-16,2.0273219780456e-12,"pdam_00016155"," unknown function","",""
"pdam_00009540",940.179917259802,2.47677857577296,0.30964676065349,7.99872270759712,1.25716473270829e-15,3.4869559136219e-12,"pdam_00009540"," Hlf: Hepatic leukemia factor (Rattus norvegicus)","K09057","PF07716"
"pdam_00006151",66.7291381308875,-3.09294228859442,0.441676522592591,-7.00273193249937,2.51018847823776e-12,5.96779380783326e-09,"pdam_00006151"," Celsr1: Cadherin EGF LAG seven-pass G-type receptor 1 (Mus musculus)","","PF00008"
"pdam_00002776",259.677392584835,2.91425596150135,0.422525316481498,6.8972339593028,5.30248170981877e-12,1.10304875768505e-08,"pdam_00002776"," unknown function","",""
"pdam_00017676",39.0294998711792,-5.0025573110375,0.746468996169066,-6.7016277122171,2.06110603931701e-11,3.81121407847929e-08,"pdam_00017676"," MAM and fibronectin type III domain-containing protein 1 (Fragment) (Acropora millepora)","","PF00041, PF00431"
"pdam_00003228",37.5862726544849,-4.95373189808836,0.742743560382719,-6.66950501130674,2.56667617482154e-11,4.271462490138e-08,"pdam_00003228"," unknown function","",""
"pdam_00013037",74.5757445481331,-3.03896073121872,0.475328564144882,-6.39338966865124,1.62248081386963e-10,2.45466597312894e-07,"pdam_00013037"," unknown function","",""
"pdam_00012524",625.509380587465,-1.61253886944703,0.262255058657392,-6.14874266945463,7.80995676099257e-10,1.08311083680365e-06,"pdam_00012524"," betS: Glycine betaine/proline betaine transporter BetS (Rhizobium meliloti)","","PF02028, PF04749"
"pdam_00020671",2962.82964383406,2.22932554695146,0.38435483988508,5.80017555553096,6.62455290204918e-09,8.48044687660789e-06,"pdam_00020671"," unknown function","",""
"pdam_00006473",3008.06052673142,1.54231047757489,0.270741569391617,5.6966149713936,1.2220949012885e-08,1.45272166766023e-05,"pdam_00006473"," CRY1: Cryptochrome-1 (Sylvia borin)","K02295","PF00875, PF03441"
"pdam_00013589",54.8607088561184,-2.69103941669845,0.48118707224509,-5.59250148625727,2.23821237578825e-08,2.48322202385787e-05,"pdam_00013589"," unknown function","","PF00049"
"pdam_00015938",166.26060801667,-1.57394316235427,0.289950637514202,-5.42831419805787,5.68888268110025e-08,5.9171490986794e-05,"pdam_00015938"," unknown function","",""
"pdam_00022718",129.439724478531,-1.95959770311498,0.366660039877651,-5.34445396277398,9.06900213052622e-08,8.87801961507161e-05,"pdam_00022718"," Hmcn2: Hemicentin-2 (Mus musculus)","","PF00041, PF07679, PF13895, PF13927"
"pdam_00022226",381.789871190822,-2.0745751004889,0.396010246123818,-5.23869046519633,1.61720017290748e-07,0.000149519140430702,"pdam_00022226"," unknown function","",""
"pdam_00017586",512.607346421153,2.07393208215353,0.402965509294339,5.14667393193362,2.65145618486151e-07,0.000232239651728765,"pdam_00017586"," Fat3: Protocadherin Fat 3 (Rattus norvegicus)","",""
"pdam_00004604",26.2283453811693,3.71900736525678,0.725807434468308,5.12395876460146,2.99186440884413e-07,0.00024895303745992,"pdam_00004604"," unknown function","",""
"pdam_00006916",6091.6773136582,1.73497196527856,0.340660461977985,5.09296545658615,3.52505943380192e-07,0.000279352567130151,"pdam_00006916"," DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)","","PF00059, PF00431, PF00530, PF07645, PF07648, PF094585"
"pdam_00004366",45.9180862804311,-2.5893117636047,0.530132216099728,-4.88427544104885,1.03809874976975e-06,0.00077256565611197,"pdam_00004366"," dio3: Thyroxine 5-deiodinase (Xenopus laevis)","","PF00837"
