"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00025232",13.2554741575113,-21.7409377400588,1.11332082195473,-19.5280078404415,6.3467404840565e-85,1.33376751272447e-80,"pdam_00025232"," Samd9l: Sterile alpha motif domain-containing protein 9-like (Mus musculus)","",""
"pdam_00024204",7.95587222739605,-21.4419191968548,1.22268674135337,-17.5367234072736,7.51366485554494e-69,7.89498334696384e-65,"pdam_00024204"," unknown function","",""
"pdam_00022766",9.82318113287474,-21.5145880374542,1.23371629404427,-17.4388456578836,4.18440349381731e-68,2.93117464741903e-64,"pdam_00022766"," unknown function","",""
"pdam_00024927",64.7903471317251,-24.224369647524,1.60522700970897,-15.0909307537231,1.85802682362141e-51,9.761608424601e-48,"pdam_00024927"," NOTCH2: Neurogenic locus notch homolog protein 2 (Homo sapiens)","","PF00008, PF12661"
"pdam_00002442",1893.86144165268,-4.41141349793204,0.317175576794913,-13.9084274473771,5.63037744174119e-44,2.36644763876382e-40,"pdam_00002442"," Meltf: Melanotransferrin (Mus musculus)","","PF00405"
"pdam_00023343",2.79807385729438,-19.4793905089298,1.460336023617,-13.3389782857528,1.3732877574768e-40,4.80994037056248e-37,"pdam_00023343"," unknown function","",""
"pdam_00004359",222.713051771905,-3.61768048157459,0.279470619438443,-12.9447613807985,2.51543600757482e-38,7.55169824274068e-35,"pdam_00004359"," MIM1: Myeloid protein 1 (Gallus gallus)","","PF01551"
"pdam_00020817",138.993158099388,-3.82296172546757,0.304041379981852,-12.5738204638322,2.94157900015528e-36,7.7271603360329e-33,"pdam_00020817"," drkD: Probable serine/threonine-protein kinase drkD (Dictyostelium discoideum)","","PF00069"
"pdam_00004558",114.541601490962,-4.53534287160733,0.361124059486921,-12.5589607019014,3.54964664429556e-36,8.28842491443013e-33,"pdam_00004558"," unknown function","",""
"pdam_00000680",204.488821722493,-2.71820867448697,0.219024784244106,-12.4105072577425,2.29196093734446e-35,4.81655590982938e-32,"pdam_00000680"," unknown function","",""
"pdam_00014678",11.2315417076662,-23.7429260806215,2.07450538270017,-11.4451021812813,2.48811135310453e-30,4.75342364413561e-27,"pdam_00014678"," unknown function","",""
"pdam_00013941",316.215903369083,-7.51833409113187,0.657575884355815,-11.4334090863096,2.84707276130111e-30,4.98593617322857e-27,"pdam_00013941"," Matn2: Matrilin-2 (Mus musculus)","","PF00084, PF07645, PF12662, PF13927"
"pdam_00020608",467.842283814801,4.01449555744897,0.357985376363318,11.2141328180251,3.47576438711704e-29,5.61870681502036e-26,"pdam_00020608"," unknown function","",""
"pdam_00025772",13.7895851607889,-24.3893028509777,2.17972675536855,-11.1891560677999,4.60798485356885e-29,6.9169144069821e-26,"pdam_00025772"," unknown function","",""
"pdam_00025611",11.4338231819913,-24.7842726318201,2.23535536771742,-11.0873971046169,1.44429219874731e-28,2.02345337044498e-25,"pdam_00025611"," unknown function","",""
"pdam_00024759",1208.33149775163,-4.13610648542345,0.374737028603574,-11.0373573191747,2.52345932427461e-28,3.31440610622693e-25,"pdam_00024759"," unknown function","",""
"pdam_00013802",11.3959611808535,-19.710162672344,1.7937256681431,-10.9883930538544,4.34594698834935e-28,5.37235740942127e-25,"pdam_00013802"," unknown function","","PF01852"
"pdam_00021243",72.2676203513357,-5.00868677967452,0.460804606531207,-10.8694373031085,1.61191905763369e-27,1.88191549978733e-24,"pdam_00021243"," unknown function","",""
"pdam_00011516",48.7810992188266,-3.93713196290907,0.366472772104476,-10.7433137264196,6.37155574341986e-27,7.04727599726149e-24,"pdam_00011516"," LACTBL1: Putative beta-lactamase-like 1 (Homo sapiens)","","PF00144"
"pdam_00005423",94.3654312290601,-5.0473561514202,0.473294199530301,-10.6643101826078,1.4950430566846e-26,1.57091649181134e-23,"pdam_00005423"," unknown function","",""
"pdam_00012240",1.60117072700874,-19.8704682955189,1.87361010020074,-10.6054446938506,2.81123418705031e-26,2.81324221146963e-23,"pdam_00012240"," CML25: Probable calcium-binding protein CML25 (Arabidopsis thaliana)","","PF13202, PF13499"
"pdam_00020173",229.858322889873,-3.06859757144639,0.296223816398382,-10.3590508310768,3.807212252414e-25,3.63675297656728e-22,"pdam_00020173"," unknown function","",""
"pdam_00013803",9.15867600866809,-19.2336011637602,1.8607468315413,-10.3364954531878,4.81837128192573e-25,4.40252489085518e-22,"pdam_00013803"," unknown function","",""
"pdam_00020559",127.474032506974,2.36670588336509,0.234303633791126,10.1010208210212,5.46701017312677e-24,4.78705078284413e-21,"pdam_00020559"," unknown function","",""
"pdam_00025776",257.944091939595,-9.74678449755525,0.968315462539989,-10.0657119240753,7.83186294935693e-24,6.58346399522944e-21,"pdam_00025776"," unknown function","",""
"pdam_00004728",0.892593852588152,-18.1093269064872,1.81189634828144,-9.99468149690994,1.60803333196285e-23,1.29972386427689e-20,"pdam_00004728"," unknown function","",""
"pdam_00014798",194.702815731714,-2.90951195517165,0.291489187174481,-9.98154334085147,1.83588659029105e-23,1.4289317294432e-20,"pdam_00014798"," Sult1b1: Sulfotransferase family cytosolic 1B member 1 (Mus musculus)","","PF00685"
"pdam_00010332",157.136920402406,-3.59381870019642,0.36464080831303,-9.85577757142108,6.47138259797999e-23,4.85700376059105e-20,"pdam_00010332"," unknown function","","PF00589"
"pdam_00015819",535.477221087864,-1.8233892494363,0.18580978607993,-9.81320353413425,9.87817315938259e-23,7.15826927394569e-20,"pdam_00015819"," TYR: Tyrosinase (Gallus gallus)","K00505","PF00264"
"pdam_00006090",798.418833617848,-3.19803092378919,0.326548444555165,-9.79343487042373,1.20143612560977e-22,8.41606005989645e-20,"pdam_00006090"," DSCAM: Down syndrome cell adhesion molecule homolog (Gallus gallus)","","PF00041, PF00754, PF07679"
"pdam_00016487",51.0082685305255,-4.79085523652526,0.491251612156521,-9.75234506711157,1.80255382956229e-22,1.22195705575005e-19,"pdam_00016487"," kinX: Probable serine/threonine-protein kinase kinX (Dictyostelium discoideum)","","PF00069"
"pdam_00017465",114.754438418096,-9.17359434775858,0.955676909436958,-9.59905409157919,8.06814329728974e-22,5.298500981017e-19,"pdam_00017465"," Tor1aip2: Torsin-1A-interacting protein 2 (Mus musculus)","K23001","PF05609"
"pdam_00013884",113.292951599629,-6.4542355578139,0.67377349813161,-9.57923630969703,9.77651394383119e-22,6.22586183423068e-19,"pdam_00013884"," NWD1: NACHT domain- and WD repeat-containing protein 1 (Homo sapiens)","","PF00400, PF05729, PF13271"
"pdam_00020489",79.2072027751678,-3.36090253390144,0.35301664001775,-9.52052156445784,1.72312041804535e-21,1.06504045838891e-18,"pdam_00020489"," FBN1: Fibrillin-1 (Homo sapiens)","K23342","PF07645, PF12947"
"pdam_00018667",73.2138775981011,-2.48884234564249,0.263882947922613,-9.4316149081841,4.03822999428002e-21,2.42466866656556e-18,"pdam_00018667"," unknown function","",""
"pdam_00007121",35.9922923806221,2.16833120124462,0.230546058284742,9.40519745762284,5.1932602955427e-21,3.03156569752305e-18,"pdam_00007121"," Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)","",""
"pdam_00024341",1.02755734223639,-18.8737516731311,2.0078383652257,-9.40003538133883,5.45447266727808e-21,3.09799305683375e-18,"pdam_00024341"," unknown function","","PF14529"
"pdam_00015096",185.342084981368,-3.04508058374685,0.326018119294323,-9.34021885144922,9.61351993549253e-21,5.31652951169409e-18,"pdam_00015096"," unknown function","",""
"pdam_00004025",90.5345570498346,2.52549731570657,0.271824518930518,9.29091064206799,1.52973844048943e-20,8.24293675048345e-18,"pdam_00004025"," GABBR2: Gamma-aminobutyric acid type B receptor subunit 2 (Homo sapiens)","K04615","PF00003, PF01094"
"pdam_00017934",343.812875873409,-4.02329069990037,0.438994956729869,-9.16477658392796,4.96497123667991e-20,2.60847176347071e-17,"pdam_00017934"," fibcd1-a: Fibrinogen C domain-containing protein 1-A (Xenopus laevis)","","PF00147"
"pdam_00020003",216.6031890976,-3.63749131096622,0.398821395919206,-9.12060222491954,7.47080213858049e-20,3.82924163273827e-17,"pdam_00020003"," unknown function","",""
"pdam_00004086",280.803660557009,-2.97945420894589,0.330208946583526,-9.02293605237687,1.83114465125507e-19,9.16226305860127e-17,"pdam_00004086"," NPTX2: Neuronal pentraxin-2 (Cavia porcellus)","","PF00354"
"pdam_00009544",226.182757334292,2.23689463317352,0.25040986436577,8.93293336841603,4.14859552035201e-19,1.98142579227721e-16,"pdam_00009544"," unknown function","",""
"pdam_00025983",122.395699536601,-1.67545032313002,0.187518820309575,-8.93483822244621,4.07774410037099e-19,1.98142579227721e-16,"pdam_00025983"," TRAPPC11: Trafficking protein particle complex subunit 11 (Bos taurus)","",""
"pdam_00020573",693.414312644563,-2.91661804916181,0.327172142836352,-8.91462831730349,4.89455238102889e-19,2.28575596194049e-16,"pdam_00020573"," Cad96Ca: Tyrosine kinase receptor Cad96Ca (Drosophila melanogaster)","","PF07679, PF07714"
"pdam_00020574",39.4921388596223,-4.91967811873734,0.555730833559428,-8.85262760611472,8.54825108156962e-19,3.90524992346055e-16,"pdam_00020574"," Robo3: Roundabout homolog 3 (Mus musculus)","","PF13927"
"pdam_00020609",54.4655142002366,3.31498448042362,0.380282224795843,8.71716915562723,2.85243822285979e-18,1.27540402666805e-15,"pdam_00020609"," unknown function","",""
"pdam_00002947",45.4936630134405,2.76808929039905,0.318151882064103,8.70052778704391,3.30344150326435e-18,1.44628798314792e-15,"pdam_00002947"," Vcan: Versican core protein (Fragments) (Rattus norvegicus)","","PF07534, PF07645"
"pdam_00002792",1.07859649806598,-18.7342110011721,2.16154839749979,-8.6670328653485,4.43526968490834e-18,1.90218760057855e-15,"pdam_00002792"," NPFFR2: Neuropeptide FF receptor 2 (Homo sapiens)","","PF00001"
"pdam_00004946",539.880498870828,-1.10912293253208,0.128271305099678,-8.64669562432688,5.30121234779882e-18,2.22809954977985e-15,"pdam_00004946"," Znfx1: NFX1-type zinc finger-containing protein 1 (Mus musculus)","","PF13086, PF13087"
"pdam_00002080",60.8002001936897,-3.43223781221573,0.397270691335788,-8.63954448961519,5.64375844786332e-18,2.32556046631074e-15,"pdam_00002080"," Cyp39a1: 24-hydroxycholesterol 7-alpha-hydroxylase (Mus musculus)","K07439","PF00067"
"pdam_00016070",81.7496010389162,-2.27025260254446,0.264544660874443,-8.58173661505857,9.34514220616586e-18,3.77669545120338e-15,"pdam_00016070"," Mfge8: Lactadherin (Mus musculus)","","PF00754"
