"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00021573",50.4134188280719,-9.99319681587281,0.888843739894648,-11.2429174750753,2.5094931149203e-29,8.61216212155398e-26,"pdam_00021573"," unknown function","",""
"pdam_00021572",26.3360473047346,-9.0704909639264,0.898275158431119,-10.0976753935492,5.65671633528728e-24,8.31981757570716e-21,"pdam_00021572"," unknown function","","PF04905"
"pdam_00019191",23.235365879023,-8.98688725503984,0.87571648646921,-10.2623250719807,1.04167887737058e-24,1.64993921261058e-21,"pdam_00019191"," unknown function","",""
"pdam_00003954",28.7113299837852,-7.99808721431401,0.992112361874115,-8.06167478772818,7.52561910804727e-16,3.60372146636747e-13,"pdam_00003954"," unknown function","",""
"pdam_00009826",25.7869553649047,-7.88597486053461,0.929815685017646,-8.48122373885847,2.22837631712713e-17,1.24012153367472e-14,"pdam_00009826"," MATN1: Cartilage matrix protein (Gallus gallus)","","PF00090, PF00092"
"pdam_00016200",30.0067991948537,-7.54579635168036,0.774811517360462,-9.73887995029617,2.05810211020369e-22,2.64864878445026e-19,"pdam_00016200"," Parp12: Poly [ADP-ribose] polymerase 12 (Mus musculus)","K15259","PF00644, PF028259"
"pdam_00023550",17.8728901973276,-7.47871746658712,0.957701016022109,-7.80903156775441,5.76290662914176e-15,2.23894359246525e-12,"pdam_00023550"," unknown function","",""
"pdam_00005679",32.3259455662246,-7.43806740537103,0.880333294532288,-8.44914926149964,2.93433129420791e-17,1.59002146523776e-14,"pdam_00005679"," unknown function","","PF01936"
"pdam_00018374",40.7764276109229,-7.39981795706408,1.00455656022254,-7.36625318083111,1.75490394590785e-13,5.39331748510276e-11,"pdam_00018374"," unknown function","",""
"pdam_00018375",174.606057468538,-7.16956791046641,1.04774583420105,-6.84285031391557,7.76327603340667e-12,1.97350144202317e-09,"pdam_00018375"," Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)","",""
"pdam_00015413",34.4978760582649,-6.95999274038817,0.971788565097115,-7.16204428654974,7.94827335446009e-13,2.30511122030546e-10,"pdam_00015413"," unknown function","",""
"pdam_00017476",89.5458112580903,-6.71198639206219,1.0868308403877,-6.17574156219916,6.58536334559289e-10,1.09354206975083e-07,"pdam_00017476"," unknown function","",""
"pdam_00014846",9.6287691947099,-6.56535019438754,0.912654330464148,-7.19368765943246,6.30643727655824e-13,1.88196884002334e-10,"pdam_00014846"," unknown function","",""
"pdam_00019727",4.65548212739036,-6.46814424020758,1.05585927877634,-6.1259529278406,9.01424551831866e-10,1.4500963239664e-07,"pdam_00019727"," unknown function","",""
"pdam_00025237",4.16616528353707,-6.41857110563929,1.07024609777642,-5.99728522157169,2.0064347415342e-09,2.73605945449873e-07,"pdam_00025237"," KIRREL: Kin of IRRE-like protein 1 (Homo sapiens)","","PF13895, PF13927"
"pdam_00024079",18.090845240182,-6.38540246854447,0.850699204492446,-7.50606375887492,6.09317491598802e-14,2.16318214991568e-11,"pdam_00024079"," unknown function","",""
"pdam_00025250",5.20228330394292,-5.90029098462114,1.24724053601887,-4.73067609192254,2.23773322952259e-06,0.000109443279357995,"pdam_00025250"," unknown function","",""
"pdam_00003951",4.59473770867154,-5.78208055043115,0.992578407400714,-5.82531365514268,5.70054344560595e-09,6.74597069473978e-07,"pdam_00003951"," unknown function","",""
"pdam_00022140",3.95881308172192,-5.77497226777964,1.08706156690082,-5.31246108189064,1.08154529504306e-07,8.43564362508772e-06,"pdam_00022140"," unknown function","","PF00354"
"pdam_00012870",132.199249086427,-5.68544016151069,0.765787363743056,-7.42430657737821,1.13372285582331e-13,3.7054741784536e-11,"pdam_00012870"," PSD3: Phosphatidylserine decarboxylase proenzyme 3 (Arabidopsis thaliana)","K01613","PF02666, PF12588"
"pdam_00021390",3.87324904079725,-5.61556506261542,1.14186410204235,-4.91789263938795,8.74808659553021e-07,5.00366253023785e-05,"pdam_00021390"," Galaxin (Acropora millepora)","",""
"pdam_00025454",2.26487410291454,-5.54159976028929,1.28612228527578,-4.30876583333678,1.64168071133095e-05,0.000600423579520702,"pdam_00025454"," unknown function","",""
"pdam_00003591",2.40547187888423,-5.53074770179004,1.22729481963767,-4.50645404290298,6.59199544188301e-06,0.000281609498223679,"pdam_00003591"," unknown function","",""
"pdam_00022139",2.30022209472504,-5.44574141526222,1.12493260316979,-4.84094904878519,1.29220504144855e-06,6.98367296810162e-05,"pdam_00022139"," GBP3: Guanylate-binding protein 3 (Homo sapiens)","","PF02263"
"pdam_00003956",149.708822372512,-5.37448252245733,0.791686364617952,-6.78865111571161,1.13186783708856e-11,2.77455840874888e-09,"pdam_00003956"," psd3: Phosphatidylserine decarboxylase proenzyme 3 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))","K01613","PF02666, PF12588"
"pdam_00003955",75.0257619281739,-5.37393256184563,0.587938782745685,-9.14029269637439,6.22835260883234e-20,5.34366702368612e-17,"pdam_00003955"," unknown function","","PF12588"
"pdam_00023395",3.38394545778626,-5.36340075642657,1.10966816816113,-4.83333748801181,1.34262887844259e-06,7.21563179373173e-05,"pdam_00023395"," unknown function","",""
"pdam_00025200",12.8213278962147,-5.31072289755547,0.674116316475225,-7.87805126172265,3.32526305098767e-15,1.36940982965774e-12,"pdam_00025200"," unknown function","","PF04434, PF09588"
"pdam_00025395",40.6661358133346,-5.20234996054354,1.03700370059431,-5.01671301419853,5.25629927222357e-07,3.21164564731025e-05,"pdam_00025395"," unknown function","",""
"pdam_00016873",6.23334304304757,-5.10818392587436,1.04800930889194,-4.87417800828054,1.09262436454518e-06,6.04791083073921e-05,"pdam_00016873"," unknown function","",""
"pdam_00004465",10.1959002670258,-5.07464505955836,0.636782102003026,-7.96920177812135,1.59702521368297e-15,6.85090545311375e-13,"pdam_00004465"," ANKRD39: Ankyrin repeat domain-containing protein 39 (Homo sapiens)","","PF13637"
"pdam_00012725",141.458615338029,-4.91068684933568,0.39175661614725,-12.5350450941456,4.80088301754778e-36,2.47137455535816e-32,"pdam_00012725"," RCHY1: RING finger and CHY zinc finger domain-containing protein 1 (Homo sapiens)","K10144","PF05495, PF139209"
"pdam_00025409",11.2820980401316,-4.89709567996675,0.802907934181599,-6.09919951153345,1.06600949813835e-09,1.65039109595239e-07,"pdam_00025409"," unknown function","",""
"pdam_00025102",2.01255949429425,-4.83331553407343,1.05402795520175,-4.58556673968701,4.52756616422086e-06,0.000201354459800155,"pdam_00025102"," unknown function","",""
"pdam_00009933",5.03436321446911,-4.7988367557749,0.987969172353387,-4.85727377944785,1.19012986073059e-06,6.51754360699565e-05,"pdam_00009933"," unknown function","",""
"pdam_00013900",1.87407706621688,-4.73816738402872,1.06487836845594,-4.44949162682213,8.60737853487926e-06,0.000350959468141978,"pdam_00013900"," unknown function","",""
"pdam_00019547",2.33603985313917,-4.72645812070339,1.18950932806909,-3.97345191767077,7.08384633918161e-05,0.00188454108488486,"pdam_00019547"," unknown function","","PF03184"
"pdam_00021139",2.02496333893193,-4.67632637161343,1.06096222877175,-4.40762757127282,1.04509046793245e-05,0.000414633098751388,"pdam_00021139"," unknown function","",""
"pdam_00025574",14.3193790871632,-4.63157298378282,0.553190860941204,-8.3724683663476,5.64236734291365e-17,2.97902528097269e-14,"pdam_00025574"," unknown function","",""
"pdam_00021169",3.96208358546159,-4.61044490314698,0.922404605243447,-4.99828912056457,5.7841215807266e-07,3.5029661020218e-05,"pdam_00021169"," Ttc28: Tetratricopeptide repeat protein 28 (Mus musculus)","","PF13424"
"pdam_00025987",55.8097074904884,-4.60009638316185,1.14863269812073,-4.00484540505249,6.20580527954528e-05,0.00170378315348156,"pdam_00025987"," unknown function","",""
"pdam_00025970",13.0997872198944,-4.4585629814827,0.523867046520443,-8.51086742542168,1.72636935800947e-17,9.87435318077029e-15,"pdam_00025970"," unknown function","",""
"pdam_00023394",16.3782642110396,-4.44785468363361,0.747492469346707,-5.95036721576733,2.67541547855617e-09,3.53137693070193e-07,"pdam_00023394"," ABCC4: Multidrug resistance-associated protein 4 (Homo sapiens)","","PF00005, PF00664"
"pdam_00011258",11.2544212695595,-4.39530341855731,0.5569384495632,-7.89190155932759,2.97616453469813e-15,1.25065722314223e-12,"pdam_00011258"," Hmcn1: Hemicentin-1 (Mus musculus)","","PF00431, PF13927"
"pdam_00012895",1.41707938756118,-4.38193099696112,1.38548051435191,-3.1627518045686,0.00156285511858469,0.0199138302888474,"pdam_00012895"," unknown function","",""
"pdam_00023391",6.5106165521078,-4.33052103158091,0.940940837446186,-4.60233083658523,4.17788863492819e-06,0.000188242680266535,"pdam_00023391"," unknown function","","PF01130"
"pdam_00024386",2.64788717976536,-4.32247117744205,1.01344057252524,-4.26514518426231,1.99772254290106e-05,0.000697205167472469,"pdam_00024386"," OIT3: Oncoprotein-induced transcript 3 protein (Homo sapiens)","","PF00059, PF00084, PF00100"
"pdam_00021170",4.90821653625888,-4.2910659877784,0.789501719516402,-5.43515724121137,5.47481310601045e-08,4.77677443499412e-06,"pdam_00021170"," TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)","","PF13424"
"pdam_00020000",9.60460207530326,-4.26578086023511,0.77897254206492,-5.47616331755067,4.34646564622563e-08,3.90821284373065e-06,"pdam_00020000"," unknown function","",""
"pdam_00000425",2.5274444329787,-4.20789359542875,1.18319518922666,-3.55638159598928,0.000375997824164086,0.00695612865890628,"pdam_00000425"," unknown function","",""
"pdam_00013212",1.71065308631269,-4.20091203750818,1.14235284569148,-3.67742073156505,0.000235604257659473,0.00484648078867753,"pdam_00013212"," unknown function","",""
