"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00002776",345.105293831227,4.8775694909791,0.579442327295316,8.41769622482761,3.83959823352493e-17,5.41037787085999e-13,"pdam_00002776 unknown function"
"pdam_00002036",1261.76271910366,2.56237812578021,0.327752062755101,7.81803813602492,5.36529382394137e-15,3.78011776365789e-11,"pdam_00002036 trpa-1: Transient receptor potential cation channel subfamily A member 1 homolog (Caenorhabditis elegans)"
"pdam_00020672",1025.26368853521,3.24502966694479,0.457188706844733,7.09779051486248,1.26767135660323e-12,5.95425236196538e-09,"pdam_00020672 unknown function"
"pdam_00025189",289.422513595518,-3.83294199762976,0.551890158398672,-6.94511750082874,3.78145451374256e-12,1.33211188882866e-08,"pdam_00025189 slc23a2: Solute carrier family 23 member 2 (Xenopus tropicalis)"
"pdam_00009540",1004.80520093888,4.22474589840823,0.611418112220902,6.90974934167775,4.85510801651865e-12,1.36826654121528e-08,"pdam_00009540 Hlf: Hepatic leukemia factor (Rattus norvegicus)"
"pdam_00020477",2205.38114864852,-3.29511741143216,0.499671215145189,-6.59457121314202,4.26486664515517e-11,1.00160393161469e-07,"pdam_00020477 Ufsp1: Ufm1-specific protease 1 (Mus musculus)"
"pdam_00014720",1748.06452031912,-2.00832236971583,0.312939813598127,-6.41759943109985,1.38439939826397e-10,2.78679598870536e-07,"pdam_00014720 unknown function"
"pdam_00007246",111.833906700326,-5.72526940755244,0.922278991173761,-6.20774132593657,5.37515295258212e-10,9.46766003185433e-07,"pdam_00007246 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"pdam_00010997",175.070613900586,-4.98890904205363,0.809639109418584,-6.16189235922194,7.18807085498812e-10,1.12541229352931e-06,"pdam_00010997 unknown function"
"pdam_00005388",107.310312872448,3.0867005761255,0.503252137723806,6.13350713240197,8.59625626555253e-10,1.21129847037901e-06,"pdam_00005388 Lonrf3: LON peptidase N-terminal domain and RING finger protein 3 (Mus musculus)"
"pdam_00003892",254.322317928136,-2.21223394016502,0.36466629699889,-6.06646119581418,1.30759300173459e-09,1.67502663522201e-06,"pdam_00003892 selenbp1: Selenium-binding protein 1 (Xenopus tropicalis)"
"pdam_00014015",288.449858782505,2.49115743682449,0.417084983346998,5.97278141455393,2.33242322039848e-09,2.73884796655291e-06,"pdam_00014015 ELF2: ETS-related transcription factor Elf-2 (Homo sapiens)"
"pdam_00004604",40.1315854052123,6.53451021952668,1.09764052886151,5.95323336530255,2.62896009207901e-09,2.84959051211425e-06,"pdam_00004604 unknown function"
"pdam_00006176",2302.35604985049,2.07226613213141,0.364382464502748,5.68706327555942,1.29242579456789e-08,1.30082656223258e-05,"pdam_00006176 CACHD1: VWFA and cache domain-containing protein 1 (Homo sapiens)"
"pdam_00002777",179.654244419363,2.53774698155257,0.451478737346121,5.62096677347406,1.89891795387952e-08,1.78384352587442e-05,"pdam_00002777 Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)"
"pdam_00009522",361.694289157955,2.49034766544396,0.447715780249269,5.56234060827035,2.66180116177223e-08,2.34421501065828e-05,"pdam_00009522 LCC4: Laccase-4 (Trametes versicolor)"
"pdam_00009624",1771.87268764052,2.17360915668846,0.395759894518851,5.49224210636866,3.96862829152298e-08,3.28952595622649e-05,"pdam_00009624 unknown function"
