"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00015134",1.44688730258057,-17.1070573733215,1.68284442592016,-10.1655608265556,2.82491569252984e-24,1.78476079773389e-20,"pdam_00015134"," unknown function","",""
"pdam_00024884",13.8642856897851,-17.0949306142197,1.95536300431839,-8.74258670971364,2.2783289758117e-18,3.68300641743715e-15,"pdam_00024884"," unknown function","",""
"pdam_00025531",11.8346349432788,-16.6934036725526,3.60346785827592,-4.63259402583919,3.61112238562121e-06,8.53630336713495e-05,"pdam_00025531"," unknown function","","PF05049"
"pdam_00025532",4.76653263925972,-15.641398263873,3.38293918915201,-4.62361200994386,3.77114952411834e-06,8.78858284060856e-05,"pdam_00025532"," unknown function","",""
"pdam_00016268",61.1545852043367,-7.94333106662311,0.959367091483111,-8.27976187336519,1.2342183333358e-16,1.29685491375259e-13,"pdam_00016268"," DELTA-alicitoxin-Pse2b (Phyllodiscus semoni)","","PF01823"
"pdam_00015338",315.384104127999,-7.56328648181339,1.03844332310678,-7.28329251440105,3.25769801290113e-13,1.16034786001894e-10,"pdam_00015338"," GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)","","PF01353"
"pdam_00000055",8.0941461067871,-5.92382974290297,1.13269397803064,-5.22985895378594,1.69639416071128e-07,7.30527116544007e-06,"pdam_00000055"," dpp: Protein decapentaplegic (Tribolium castaneum)","","PF00019, PF00688"
"pdam_00015350",13.8859986241305,-5.76403541539134,0.99751563940327,-5.77839102235979,7.5418368475929e-09,6.0493015783269e-07,"pdam_00015350"," GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)","","PF01353"
"pdam_00020136",111.638553022747,-5.67180198968102,1.05333618080853,-5.38460758589666,7.26028675466513e-08,3.82844164185417e-06,"pdam_00020136"," Vitellogenin (Fragment) (Acipenser transmontanus)","","PF00094, PF01347, PF09172, PF09175"
"pdam_00014422",8.26987995086878,-5.61738842710907,1.01744654647515,-5.52106491153761,3.36951264522664e-08,2.09497953371118e-06,"pdam_00014422"," unknown function","","PF00431"
"pdam_00012401",11.9071077871131,-5.26735539609806,0.897724608865783,-5.86745126966389,4.42545010830485e-09,3.95748229897985e-07,"pdam_00012401"," COL6A5: Collagen alpha-5(VI) chain (Homo sapiens)","","PF00092"
"pdam_00006165",20.2301486345296,-5.26219253640161,0.76219666548772,-6.90398262636639,5.05644866967801e-12,1.32826585991604e-09,"pdam_00006165"," unknown function","",""
"pdam_00003275",20.2792457762586,-5.17855681977597,1.62737886823701,-3.18214579336775,0.00146188208892576,0.00944113463391973,"pdam_00003275"," unknown function","",""
"pdam_00019328",44.3869883686101,-5.06232638526505,1.13441071212001,-4.46251638068937,8.10027340747523e-06,0.000161352839486343,"pdam_00019328"," MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)","","PF07690, PF13347"
"pdam_00016129",6.67918960846961,-5.04607795261471,0.987221304364751,-5.11139491247276,3.19788696794341e-07,1.2152548757926e-05,"pdam_00016129"," ABCC4: Multidrug resistance-associated protein 4 (Homo sapiens)","","PF00005"
"pdam_00006511",210.288588215372,-5.03955662012261,1.08020451404823,-4.66537267210273,3.08058205388324e-06,7.55465866206902e-05,"pdam_00006511"," Probable G-protein coupled receptor No9 (Amphibalanus amphitrite)","","PF00001"
"pdam_00019444",9.01958273513539,-4.94882436037042,1.12937139372396,-4.3819282017161,1.17633577636397e-05,0.000221313306537948,"pdam_00019444"," unknown function","",""
"pdam_00009476",3.37001961976399,-4.94484691824186,1.05648607624022,-4.68046577181534,2.86223896980395e-06,7.17779856210381e-05,"pdam_00009476"," unknown function","",""
"pdam_00017718",5.16678791508458,-4.881083955734,0.98023680944248,-4.97949465753094,6.37505126494009e-07,2.15042860887185e-05,"pdam_00017718"," unknown function","",""
"pdam_00025208",5.83567696654787,-4.86046737486322,1.06703041033546,-4.55513481882412,5.2351990583686e-06,0.000115542211559387,"pdam_00025208"," REJ: Sperm receptor for egg jelly (Strongylocentrotus purpuratus)","","PF00754, PF02010"
"pdam_00002774",3.84506341971294,-4.85047844793687,1.55401227241924,-3.12126135296588,0.00180078138391376,0.0110330672836582,"pdam_00002774"," unknown function","",""
"pdam_00017781",101.770492425911,-4.75192238447232,1.69837077243708,-2.79792991117808,0.00514312717232163,0.0247416612340252,"pdam_00017781"," Crygb: Gamma-crystallin B (Rattus norvegicus)","","PF00030"
