"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00025232",13.2554741575113,-22.5551823436395,1.15073962636348,-19.600595848878,1.52823973151655e-85,3.21159579578202e-81,"pdam_00025232 Samd9l: Sterile alpha motif domain-containing protein 9-like (Mus musculus)"
"pdam_00022766",9.82318113287474,-21.2545027612278,1.28714662626955,-16.5128838684278,2.96375558583275e-61,3.11416618181376e-57,"pdam_00022766 unknown function"
"pdam_00024204",7.95587222739605,-20.8986086609208,1.2797001716879,-16.3308633719693,5.95358260576267e-60,4.17048461533675e-56,"pdam_00024204 unknown function"
"pdam_00015159",104.159044620794,28.8405135942618,1.78717296726438,16.1375055031231,1.3904844774166e-58,7.30525782322745e-55,"pdam_00015159 unknown function"
"pdam_00024759",1208.33149775163,-6.26295253160678,0.392727055038779,-15.9473416747118,2.97284494463884e-57,1.2494867302317e-53,"pdam_00024759 unknown function"
"pdam_00022198",133.404723331711,-5.69944516874059,0.364218993800265,-15.648401829,3.40667651522796e-55,1.19318844945859e-51,"pdam_00022198 DD3-3: Protein DD3-3 (Dictyostelium discoideum)"
"pdam_00004213",97.6682988349986,-3.33378958152042,0.245018520991945,-13.606275835899,3.67498786151429e-42,1.10328385585318e-38,"pdam_00004213 ORF20: Ribonucleoside-diphosphate reductase small chain (Ostreid herpesvirus 1 (isolate France))"
"pdam_00024927",64.7903471317251,-22.7353444399022,1.67454172017062,-13.5770546448885,5.47855697777854e-42,1.4391484361002e-38,"pdam_00024927 NOTCH2: Neurogenic locus notch homolog protein 2 (Homo sapiens)"
"pdam_00012725",141.458615338029,-6.87242929150409,0.517556899626427,-13.2785966073771,3.08114646253942e-40,7.19447699002955e-37,"pdam_00012725 RCHY1: RING finger and CHY zinc finger domain-containing protein 1 (Homo sapiens)"
"pdam_00023343",2.79807385729438,-19.8930382917675,1.52997953013661,-13.0021597674521,1.18936222950147e-38,2.49944472529735e-35,"pdam_00023343 unknown function"
"pdam_00022278",269.834836738237,-7.57480956538624,0.586299492502423,-12.9196931981908,3.48528387609124e-38,6.65847642327795e-35,"pdam_00022278 unknown function"
"pdam_00021841",216.504140870013,-2.69286344528218,0.209209050530482,-12.8716393409081,6.50075835678205e-38,1.13844530723146e-34,"pdam_00021841 gk5: Putative glycerol kinase 5 (Danio rerio)"
"pdam_00000680",204.488821722493,-2.94726863723547,0.230351179613259,-12.7946756868521,1.75583933449575e-37,2.83838181649447e-34,"pdam_00000680 unknown function"
"pdam_00021143",2572.95226489198,-5.40601402657337,0.433175370743567,-12.4799662946988,9.60272917362201e-36,1.44143823988333e-32,"pdam_00021143 MCM8: DNA helicase MCM8 (Gallus gallus)"
"pdam_00025367",31.4129015162251,25.2775196953566,2.13003441394435,11.8671884030964,1.75259072266906e-32,2.45537960245935e-29,"pdam_00025367 shkA: Dual specificity protein kinase shkA (Dictyostelium discoideum)"
"pdam_00020817",138.993158099388,-3.73669808973646,0.319077816042477,-11.7109303808166,1.12043339939688e-31,1.47161924302034e-28,"pdam_00020817 drkD: Probable serine/threonine-protein kinase drkD (Dictyostelium discoideum)"
"pdam_00013802",11.3959611808535,-21.5306037224623,1.85683998658987,-11.5952930128372,4.35373054494191e-31,5.38197925893848e-28,"pdam_00013802 unknown function"
"pdam_00013941",316.215903369083,-7.82412806754673,0.694331791462872,-11.2685724083903,1.87586664577455e-29,2.19007430894179e-26,"pdam_00013941 Matn2: Matrilin-2 (Mus musculus)"
"pdam_00004946",539.880498870828,-1.49230507110755,0.134041110518445,-11.1331894023827,8.64845956304065e-29,9.56565145880522e-26,"pdam_00004946 Znfx1: NFX1-type zinc finger-containing protein 1 (Mus musculus)"
"pdam_00025531",11.8346349432788,40.002452653751,3.59902627523327,11.1147987245962,1.06290046707428e-28,1.1168426657783e-25,"pdam_00025531 unknown function"
"pdam_00013803",9.15867600866809,-20.9984187146849,1.92677064536438,-10.8982450844396,1.17501649229599e-27,1.17585578979049e-24,"pdam_00013803 unknown function"
"pdam_00024273",99.9762898030045,4.46169593378489,0.410372342081392,10.8723114992481,1.56192698731404e-27,1.49199525629112e-24,"pdam_00024273 GBP6: Guanylate-binding protein 6 (Pongo abelii)"
"pdam_00024153",643.168450225844,-2.10878558449566,0.195803057880871,-10.7699318249599,4.77354531073937e-27,4.36156759587773e-24,"pdam_00024153 pats1: Probable serine/threonine-protein kinase pats1 (Dictyostelium discoideum)"
"pdam_00015807",946.315106726909,-1.8091967313859,0.16827517574116,-10.7514178690789,5.83575675814058e-27,5.10993451134684e-24,"pdam_00015807 HYDIN: Hydrocephalus-inducing protein homolog (Homo sapiens)"
"pdam_00019215",67.3913394573639,-4.77898429766805,0.451860917761835,-10.5762284583924,3.84110267440323e-26,3.22883090810336e-23,"pdam_00019215 unknown function"
"pdam_00024112",490.879560926166,-2.36537673393057,0.224121253901196,-10.5540045522561,4.86771705858348e-26,3.93442592254353e-23,"pdam_00024112 Trpc2: Short transient receptor potential channel 2 (Rattus norvegicus)"
"pdam_00005423",94.3654312290601,-5.16054888029365,0.490669829627785,-10.517355192204,7.18625049086631e-26,5.59329829872428e-23,"pdam_00005423 unknown function"
"pdam_00002442",1893.86144165268,-3.47340903097415,0.333334723307964,-10.4201836415497,2.00565556377679e-25,1.50531613117033e-22,"pdam_00002442 Meltf: Melanotransferrin (Mus musculus)"
"pdam_00017551",304.781145882991,-3.13437619870556,0.304070348757706,-10.3080626292935,6.47943026347164e-25,4.69535265471919e-22,"pdam_00017551 unknown function"
"pdam_00016216",355.829496323401,-1.27846886034783,0.124515866369129,-10.2675176877282,9.87118920026591e-25,6.91476803478627e-22,"pdam_00016216 mshA: D-inositol 3-phosphate glycosyltransferase (Nocardioides sp. (strain ATCC BAA-499 / JS614))"
"pdam_00010332",157.136920402406,-3.91156476371936,0.382949146262191,-10.2143190601116,1.71076068924717e-24,1.15973018982353e-21,"pdam_00010332 unknown function"
"pdam_00011516",48.7810992188266,-3.92757346475823,0.386100734931249,-10.1724060832404,2.63322281081329e-24,1.72928679278879e-21,"pdam_00011516 LACTBL1: Putative beta-lactamase-like 1 (Homo sapiens)"
"pdam_00022171",604.105443157485,1.98913289525311,0.196940743219536,10.1001593816256,5.51524798693617e-24,3.51221019531708e-21,"pdam_00022171 Acad11: Acyl-CoA dehydrogenase family member 11 (Rattus norvegicus)"
"pdam_00025532",4.76653263925972,33.8913208353346,3.3652581309302,10.0709424111745,7.42630501960563e-24,4.59011176432389e-21,"pdam_00025532 unknown function"
"pdam_00008862",98.4018601803545,-2.43093782114679,0.241527084463055,-10.0648663339396,7.89945637554033e-24,4.743059306628e-21,"pdam_00008862 MOXD1: DBH-like monooxygenase protein 1 (Homo sapiens)"
"pdam_00022335",794.327179484172,-1.20211184754717,0.119606271239336,-10.0505754011987,9.1332559430457e-24,5.33153815675293e-21,"pdam_00022335 NLRP3: NACHT%2C LRR and PYD domains-containing protein 3 (Bos taurus)"
"pdam_00017465",114.754438418096,-9.63760750925339,0.962802481767356,-10.0099529153293,1.37818117295436e-23,7.82769658098268e-21,"pdam_00017465 Tor1aip2: Torsin-1A-interacting protein 2 (Mus musculus)"
"pdam_00015819",535.477221087864,-1.94768584234219,0.194965999199794,-9.98987439007898,1.687955009152e-23,9.33483539929719e-21,"pdam_00015819 TYR: Tyrosinase (Gallus gallus)"
"pdam_00004558",114.541601490962,-3.80195651483211,0.38121707496436,-9.9732062505006,1.99676704093852e-23,1.07595024013649e-20,"pdam_00004558 unknown function"
"pdam_00025776",257.944091939595,-9.71375063115388,0.977473267133866,-9.93761257495707,2.85589580919589e-23,1.50041626075629e-20,"pdam_00025776 unknown function"
"pdam_00025983",122.395699536601,-1.94914442141354,0.196504035604,-9.91910631973738,3.4382075112173e-23,1.76229099629833e-20,"pdam_00025983 TRAPPC11: Trafficking protein particle complex subunit 11 (Bos taurus)"
"pdam_00001187",56.6788378126254,-3.46172199943912,0.350290421472924,-9.88243408107777,4.96128941813008e-23,2.48241659814294e-20,"pdam_00001187 unknown function"
"pdam_00021936",8803.82134595685,4.66493391192839,0.472765868107372,9.86732382057013,5.76830311424504e-23,2.8190904638572e-20,"pdam_00021936 unknown function"
"pdam_00024174",84.7361886229917,-2.84072742084715,0.290357086081252,-9.78356498608827,1.32460892235704e-22,6.32651284166662e-20,"pdam_00024174 unknown function"
"pdam_00015096",185.342084981368,-3.34628775561845,0.342405627695918,-9.77287604218412,1.4721258274245e-22,6.87482761407241e-20,"pdam_00015096 unknown function"
"pdam_00011721",16.688472186829,28.4542080757475,2.9156064507497,9.7592760053165,1.68352749541661e-22,7.69115876438698e-20,"pdam_00011721 unknown function"
"pdam_00014798",194.702815731714,-2.97043086452336,0.306158700747546,-9.70225852562895,2.94897290670989e-22,1.31856735392571e-19,"pdam_00014798 Sult1b1: Sulfotransferase family cytosolic 1B member 1 (Mus musculus)"
"pdam_00016202",33.9533091376337,-5.46116175993353,0.563435023174366,-9.69262032943143,3.24104744521113e-22,1.4189710846065e-19,"pdam_00016202 unknown function"
"pdam_00020829",230.804062215653,-2.16894584587271,0.224528168401622,-9.66001665320246,4.45791490127298e-22,1.91189962551534e-19,"pdam_00020829 kinX: Probable serine/threonine-protein kinase kinX (Dictyostelium discoideum)"
"pdam_00017532",136.525007314104,-2.49569243273887,0.25920481904099,-9.62826401905826,6.07470342373546e-22,2.55319784899601e-19,"pdam_00017532 unknown function"
"pdam_00020489",79.2072027751678,-3.54304237427756,0.368510526824294,-9.61449433971499,6.94497417945842e-22,2.86173788982978e-19,"pdam_00020489 FBN1: Fibrillin-1 (Homo sapiens)"
"pdam_00011668",323.978016815211,-1.5794718713939,0.164377071065841,-9.60883328284419,7.33756688709978e-22,2.96536477177696e-19,"pdam_00011668 unknown function"
"pdam_00020173",229.858322889873,-2.98340958794519,0.31075344152119,-9.6005681331827,7.95049668299188e-22,3.15244693949197e-19,"pdam_00020173 unknown function"
"pdam_00024819",827.221093367834,1.91300277353194,0.200445902213888,9.54373600259809,1.37777422210688e-21,5.36183801436595e-19,"pdam_00024819 unknown function"
"pdam_00001340",41.7113231579023,-4.54095522314046,0.483272311949701,-9.3962660613031,5.65337689245613e-21,2.1601039162721e-18,"pdam_00001340 exd1: piRNA biogenesis protein EXD1 (Xenopus laevis)"
"pdam_00025801",78.5196264968723,2.86586822034967,0.305192137533237,9.39037369544806,5.97877527281013e-21,2.24364218496616e-18,"pdam_00025801 unknown function"
"pdam_00021573",50.4134188280719,-9.857435691276,1.05612339372822,-9.3336022569089,1.02332501619255e-20,3.77283775706778e-18,"pdam_00021573 unknown function"
"pdam_00022855",48.6690000280857,2.51477733608665,0.269535549330453,9.33003955260651,1.05831406866754e-20,3.83456381949111e-18,"pdam_00022855 Cpsf1: Cleavage and polyadenylation specificity factor subunit 1 (Mus musculus)"
"pdam_00009051",22.071365320928,5.5397071679817,0.595579105133764,9.30137931339534,1.38635364161556e-20,4.93800369127982e-18,"pdam_00009051 unknown function"
"pdam_00013022",202.826738820704,3.83504188295298,0.412861019769993,9.28894155493173,1.55830197488531e-20,5.40635218013535e-18,"pdam_00013022 unknown function"
"pdam_00025829",106.109723698584,-2.16927170577634,0.23355152762388,-9.28819317880815,1.5692956601868e-20,5.40635218013535e-18,"pdam_00025829 unknown function"
"pdam_00023605",451.860647225711,1.36136524251932,0.146804651184503,9.27331138036196,1.80454674975709e-20,6.11654031389438e-18,"pdam_00023605 mshA: D-inositol 3-phosphate glycosyltransferase (Corynebacterium urealyticum (strain ATCC 43042 / DSM 7109))"
"pdam_00025219",36.8301305201209,3.26744597558017,0.353585712549057,9.24088802125124,2.44459854630313e-20,8.15448229373973e-18,"pdam_00025219 unknown function"
"pdam_00013884",113.292951599629,-6.38946162652292,0.691789225191359,-9.23613926590936,2.55551809381873e-20,8.3912832408751e-18,"pdam_00013884 NWD1: NACHT domain- and WD repeat-containing protein 1 (Homo sapiens)"
"pdam_00003815",63.6545423496839,-2.27462694659461,0.246647518516263,-9.22217649006931,2.9112977358642e-20,9.41244952602865e-18,"pdam_00003815 unknown function"
"pdam_00001521",499.776917336467,-4.43969561746776,0.482210154975845,-9.2069724613953,3.35452719668299e-20,1.06811195512565e-17,"pdam_00001521 unknown function"
"pdam_00014748",651.412514858743,1.79006167684503,0.196147644017121,9.12609318258639,7.10158687935115e-20,2.2274604219338e-17,"pdam_00014748 V-type proton ATPase subunit C (Manduca sexta)"
"pdam_00024820",358.239771845736,1.95735751226968,0.214683951942404,9.11739091143059,7.69545955391887e-20,2.37823650772949e-17,"pdam_00024820 unknown function"
"pdam_00016070",81.7496010389162,-2.52703658503623,0.277465049638294,-9.10758521958169,8.42359187977622e-20,2.56553309207967e-17,"pdam_00016070 Mfge8: Lactadherin (Mus musculus)"
"pdam_00004728",0.892593852588152,-17.663819245244,1.94541528692399,-9.0797164821159,1.08858037829725e-19,3.26807380713095e-17,"pdam_00004728 unknown function"
"pdam_00006090",798.418833617848,-3.10762364547675,0.342748261957193,-9.06678163072604,1.22584263549435e-19,3.62832154717095e-17,"pdam_00006090 DSCAM: Down syndrome cell adhesion molecule homolog (Gallus gallus)"
"pdam_00019191",23.235365879023,-8.57900523707068,0.947135804486377,-9.0578406986979,1.3305839489937e-19,3.88364190112537e-17,"pdam_00019191 unknown function"
"pdam_00017257",481.872204234528,-1.20114760277259,0.133232719684465,-9.01541007056872,1.9613528817166e-19,5.58912865106453e-17,"pdam_00017257 ABCC5: Multidrug resistance-associated protein 5 (Homo sapiens)"
"pdam_00003862",209.440407844163,2.07117346799531,0.229746610142787,9.01503385276534,1.96809669368915e-19,5.58912865106453e-17,"pdam_00003862 Cad96Ca: Tyrosine kinase receptor Cad96Ca (Drosophila melanogaster)"
"pdam_00025318",644.662450363316,-2.31255516266635,0.2567328464309,-9.00763262206411,2.10552349297037e-19,5.89967682730298e-17,"pdam_00025318 NPHP3: Nephrocystin-3 (Homo sapiens)"
"pdam_00000445",176.57305465246,1.99752961803414,0.22313496180293,8.95211401160135,3.48738502171053e-19,9.64307845147984e-17,"pdam_00000445 Dffa: DNA fragmentation factor subunit alpha (Mus musculus)"
"pdam_00016200",30.0067991948537,-6.70455952137838,0.750777857517159,-8.93015084854863,4.25428290683937e-19,1.16108773100298e-16,"pdam_00016200 Parp12: Poly [ADP-ribose] polymerase 12 (Mus musculus)"
"pdam_00016487",51.0082685305255,-4.53393581997625,0.508658883372891,-8.9135095604975,4.94421413288349e-19,1.33208538464803e-16,"pdam_00016487 kinX: Probable serine/threonine-protein kinase kinX (Dictyostelium discoideum)"
"pdam_00021916",60.0908724612223,-3.25413872702556,0.365872431360969,-8.89418947178076,5.88472185442802e-19,1.56541050342791e-16,"pdam_00021916 unknown function"
"pdam_00011303",167.83423358775,3.60737998582454,0.405730753196311,8.89106866414715,6.05239609524301e-19,1.58988879926915e-16,"pdam_00011303 unknown function"
"pdam_00008578",72.1542133527637,-3.30731270591057,0.373080579037342,-8.86487502095233,7.65899339134597e-19,1.98708328542143e-16,"pdam_00008578 CUB and peptidase domain-containing protein 1 (Fragment) (Acropora millepora)"
"pdam_00006877",69.8324700378341,-2.51025183018438,0.285416270651796,-8.79505511179091,1.42977786914397e-18,3.66424169756835e-16,"pdam_00006877 AOC1: Amiloride-sensitive amine oxidase [copper-containing] (Homo sapiens)"
"pdam_00012843",513.125097179768,-2.45282081434854,0.27916845637408,-8.78616748541897,1.54748832668547e-18,3.91812857654159e-16,"pdam_00012843 Clpb: Caseinolytic peptidase B protein homolog (Mus musculus)"
"pdam_00013914",2486.86514434928,-3.84417150153924,0.438641432444546,-8.76381303087513,1.88754790636813e-18,4.72224038718169e-16,"pdam_00013914 unknown function"
"pdam_00009569",109.558816114185,2.48974507612236,0.285657683287926,8.71583444724939,2.88624823188885e-18,7.13582430507578e-16,"pdam_00009569 unknown function"
"pdam_00001005",104.107527279989,-2.42619042585579,0.27847665089121,-8.71236571572966,2.97597747666777e-18,7.27211240374106e-16,"pdam_00001005 SPAC824.03c: Uncharacterized protein C824.03c%2C mitochondrial (Schizosaccharomyces pombe (strain 972 / ATCC 24843))"
"pdam_00010592",200.303456570174,-1.72390277298448,0.199316812319429,-8.64905851605593,5.19260329602418e-18,1.25428227891895e-15,"pdam_00010592 unknown function"
"pdam_00008999",105.47763929565,4.27338787980217,0.494993058807856,8.63322788827426,5.96444390348585e-18,1.4243498708154e-15,"pdam_00008999 Tachylectin-2 (Tachypleus tridentatus)"
"pdam_00008503",169.112887585156,-1.97589067512168,0.228972335202466,-8.62938604951784,6.16821690187545e-18,1.45646155272936e-15,"pdam_00008503 kctd6: BTB/POZ domain-containing protein KCTD6 (Danio rerio)"
"pdam_00012844",69.9231738497039,-1.87941505873295,0.218458374571735,-8.60308084969208,7.76042677305101e-18,1.81205965150741e-15,"pdam_00012844 Clpb: Caseinolytic peptidase B protein homolog (Mus musculus)"
"pdam_00015338",315.384104127999,-9.26289963614457,1.0778553707505,-8.59382426205747,8.41216500014416e-18,1.94265546679153e-15,"pdam_00015338 GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)"
"pdam_00002833",30.3509454702935,-3.77550987062646,0.439672961606796,-8.58708676746636,8.9202268348042e-18,2.03759311884142e-15,"pdam_00002833 MAP3K7: Mitogen-activated protein kinase kinase kinase 7 (Homo sapiens)"
"pdam_00023662",155.806572038826,4.10460546222873,0.479756707310692,8.55559786800557,1.17259395887501e-17,2.64968409094177e-15,"pdam_00023662 ZNF862: Zinc finger protein 862 (Homo sapiens)"
"pdam_00025718",263.225571516135,1.94865888375948,0.228491927557281,8.5283489206461,1.48451209007615e-17,3.31883208222876e-15,"pdam_00025718 unknown function"
"pdam_00020608",467.842283814801,3.18031704779752,0.374049677508087,8.50239216615489,1.85723155061263e-17,4.10839168801309e-15,"pdam_00020608 unknown function"
"pdam_00008502",47.4468580970214,-2.74435447850318,0.322856679706588,-8.50022518040281,1.89223272943977e-17,4.14221570928924e-15,"pdam_00008502 kctd6: BTB/POZ domain-containing protein KCTD6 (Danio rerio)"
"pdam_00002256",528.597058374912,3.18765405342547,0.377195551510108,8.4509322569252,2.88985906591463e-17,6.18285341341546e-15,"pdam_00002256 GTF3C3: General transcription factor 3C polypeptide 3 (Homo sapiens)"
"pdam_00016201",189.928390695622,-2.64416507710752,0.31289036651646,-8.45077177206226,2.89383456289056e-17,6.18285341341546e-15,"pdam_00016201 Tiparp: TCDD-inducible poly [ADP-ribose] polymerase (Mus musculus)"
