"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00004604",40.1315854052123,6.53450567321859,1.0977241615334,5.95277566277723,2.63632559695953e-09,2.85757415282744e-06,"pdam_00004604"," unknown function","",""
"pdam_00002776",345.105293831227,4.877569968708,0.579426439427757,8.41792786246533,3.83201610059967e-17,5.399693887355e-13,"pdam_00002776"," unknown function","",""
"pdam_00009540",1004.80520093888,4.22474612186981,0.611389826261677,6.91006938682949,4.84416706184430e-12,1.36518316136896e-08,"pdam_00009540"," Hlf: Hepatic leukemia factor (Rattus norvegicus)","K09057","PF07716"
"pdam_00015387",49.3582582528172,3.47518486181484,0.644609625590823,5.39114639907777,7.00096080588082e-08,4.69764470074603e-05,"pdam_00015387"," HSP20: Heat shock protein homolog (Nippostrongylus brasiliensis)","K04455","PF00011"
"pdam_00011633",964.797709126312,3.45885811937639,0.956888701333954,3.61469219414396,0.000300704672120086,0.0392593700518463,"pdam_00011633"," unknown function","",""
"pdam_00002487",37.3829985415777,3.41519583972716,0.896588710847527,3.80909975600612,0.000139473682296782,0.0231214547911054,"pdam_00002487"," PPP1R3B: Protein phosphatase 1 regulatory subunit 3B (Bos taurus)","K07189","PF03370"
"pdam_00015523",44.0086046948097,3.38951834662592,0.926881035014292,3.65690764896669,0.000255276299278785,0.0359709833313736,"pdam_00015523"," CKMT2: Creatine kinase S-type%2C mitochondrial (Oryctolagus cuniculus)","","PF00217, PF02807"
"pdam_00018277",37.3572886696653,3.388004915146,0.800065922004102,4.23465719757106,2.28900616834654e-05,0.0073305422541298,"pdam_00018277"," unknown function","",""
"pdam_00020672",1025.26368853521,3.24502976474451,0.457161724946845,7.09820964369187,1.26383374335109e-12,5.93622709252008e-09,"pdam_00020672"," unknown function","","PF01471, PF03734"
"pdam_00005388",107.310312872448,3.08670030764718,0.503275276669801,6.13322460040564,8.61154334207939e-10,1.21345257233241e-06,"pdam_00005388"," Lonrf3: LON peptidase N-terminal domain and RING finger protein 3 (Mus musculus)","","PF02190, PF13445, PF13923"
"pdam_00006178",32.5808190042042,2.94410702550699,0.81145836879654,3.62816767774956,0.00028543986178724,0.0386743566581154,"pdam_00006178"," unknown function","",""
"pdam_00000346",47.8182890232482,2.93778595319403,0.734764854325433,3.99826684128914,6.38079932161559e-05,0.0135128508814627,"pdam_00000346"," PXDN: Peroxidasin homolog (Homo sapiens)","","PF03098"
"pdam_00009102",44.2063334399905,2.91228325277574,0.643213545347304,4.52770821423428,5.96268378417752e-06,0.00262563053758892,"pdam_00009102"," TMPRSS9: Transmembrane protease serine 9 (Homo sapiens)","K01316","PF00008, PF00089, PF00188"
"pdam_00020671",5657.88914149548,2.7721251618018,0.50742841767243,5.46308615216608,4.67927361945876e-08,3.66309136509963e-05,"pdam_00020671"," unknown function","",""
"pdam_00000369",109.167723900885,2.61608068072372,0.651874022461351,4.01316909492098,5.99089648912102e-05,0.0133996384806674,"pdam_00000369"," ADGRL3: Adhesion G protein-coupled receptor L3 (Homo sapiens)","","PF00002, PF01825, PF07679, PF16489"
"pdam_00000102",362.29988464085,2.59883539220169,0.663353487527749,3.91772326680196,8.93892406359572e-05,0.0165734709184378,"pdam_00000102"," Lrp6: Low-density lipoprotein receptor-related protein 6 (Mus musculus)","","PF00008, PF00058, PF14670"
"pdam_00002036",1261.76271910366,2.56237813875614,0.327722134497626,7.81875213489645,5.3349539998734e-15,3.7587418406108e-11,"pdam_00002036"," trpa-1: Transient receptor potential cation channel subfamily A member 1 homolog (Caenorhabditis elegans)","K04984","PF00023, PF00520, PF12796, PF13637, PF13857"
"pdam_00018253",288.980606492556,2.55777618577809,0.66553953757642,3.84316188801089,0.00012145929204704,0.0208717424906687,"pdam_00018253"," Nrp2: Neuropilin-2 (Mus musculus)","","PF00431, PF00754, PF02140"
"pdam_00014097",675.628361657416,2.54805201521555,0.634477907311192,4.01598225226431,5.91987108342136e-05,0.0133996384806674,"pdam_00014097"," unknown function","",""
"pdam_00002777",179.654244419363,2.53774695146102,0.451481583526965,5.62093127173912,1.89930826220399e-08,1.78421018151443e-05,"pdam_00002777"," Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)","K03730","PF00010, PF075277"
