"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00025531",11.8346349432788,32.0397676933843,3.2706910703445,9.79602383847568,1.17104942585962e-22,1.60753858185836e-19,"pdam_00025531"," unknown function","","PF05049"
"pdam_00025532",4.76653263925972,27.2382166803938,3.07077399791807,8.87014697234666,7.30494264443886e-19,4.92218226287952e-16,"pdam_00025532"," unknown function","",""
"pdam_00015159",104.159044620794,20.283127082312,1.6867894095745,12.0246943496216,2.63561605744647e-33,1.08539940477761e-29,"pdam_00015159"," unknown function","",""
"pdam_00025367",31.4129015162251,20.195228859674,1.95593296978079,10.3251129623002,5.42549048232907e-25,9.30968954346983e-22,"pdam_00025367"," shkA: Dual specificity protein kinase shkA (Dictyostelium discoideum)","","PF07714"
"pdam_00011721",16.688472186829,20.1879426670441,2.67702213265605,7.54119378423453,4.6568849168435e-14,1.68227925127587e-11,"pdam_00011721"," unknown function","",""
"pdam_00025611",11.4338231819913,7.41677749717685,1.99467395204329,3.71829064573652,0.000200575420602172,0.00427541251099309,"pdam_00025611"," unknown function","",""
"pdam_00016458",23.5060118571808,6.74082477307517,2.08179912083961,3.23798041107662,0.00120379074716024,0.0166917543937888,"pdam_00016458"," GVINP1: Interferon-induced very large GTPase 1 (Homo sapiens)","",""
"pdam_00025772",13.7895851607889,6.11402576592032,1.91344944330092,3.19528994472565,0.00139690426808778,0.0185452326139236,"pdam_00025772"," unknown function","",""
"pdam_00008727",204.137981711196,6.05547683117037,1.45095006265596,4.17345640420307,3.00013089959418e-05,0.000963739397091165,"pdam_00008727"," unknown function","","PF00797"
"pdam_00020656",27.8437194298944,5.76885086541826,1.57485298464974,3.66310437967726,0.000249176940821135,0.00506996283443477,"pdam_00020656"," unknown function","",""
"pdam_00014678",11.2315417076662,5.69295419021205,1.80325329513846,3.15704632597104,0.00159376024063825,0.0202508664740066,"pdam_00014678"," unknown function","",""
"pdam_00013587",99.8533838619343,5.24241222009901,1.63250471542587,3.2112692665218,0.00132150045579509,0.0178638820232518,"pdam_00013587"," unknown function","",""
"pdam_00000329",24.9532163301895,5.10492365129069,1.57776135381315,3.23554867087666,0.00121409185088405,0.0168119470756917,"pdam_00000329"," daao-1: D-amino-acid oxidase (Caenorhabditis briggsae)","","PF01266"
"pdam_00022363",21.2919473255347,4.83162315532984,1.73268318736941,2.78852082743718,0.00529493426896258,0.0485431841194161,"pdam_00022363"," Trypsin-2 (Fragment) (Salmo salar)","K01312","PF00089"
"pdam_00003189",16.0995667724877,4.78367826932295,0.878595115459432,5.44469026193196,5.18956079695326e-08,4.54715942000275e-06,"pdam_00003189"," Edil3: EGF-like repeat and discoidin I-like domain-containing protein 3 (Mus musculus)","","PF00754"
"pdam_00018715",14.5690467193282,4.7227870366929,1.40286661284791,3.36652607841693,0.00076121384360083,0.0117585553290208,"pdam_00018715"," unknown function","","PF04500"
"pdam_00021929",113.065667555796,4.58064077740948,1.30485429056679,3.51046152089502,0.000447329545553327,0.00788609817850047,"pdam_00021929"," unknown function","",""
"pdam_00024766",15.4165170561648,4.46473435987445,1.61001904892237,2.77309412137875,0.00555260582878694,0.0499491946791402,"pdam_00024766"," unknown function","",""
"pdam_00007674",9.44217105904437,4.44101446330342,0.94952074781254,4.67711155710332,2.9094399657706e-06,0.000137089881773873,"pdam_00007674"," unknown function","",""
