"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00024927",64.7903471317251,23.556278287903,1.59735898835775,14.7470158302495,3.21572541596526e-49,1.3515693923302e-45,"pdam_00024927"," NOTCH2: Neurogenic locus notch homolog protein 2 (Homo sapiens)","","PF00008, PF12661"
"pdam_00025772",13.7895851607889,21.541440388285,2.20308026818431,9.77787359787782,1.40123425304785e-22,4.9910064114916e-20,"pdam_00025772"," unknown function","",""
"pdam_00025611",11.4338231819913,21.1564606502866,2.27784836097315,9.28791442519383,1.57341013862154e-20,4.08212519297921e-18,"pdam_00025611"," unknown function","",""
"pdam_00013802",11.3959611808535,20.7352408631695,1.77935024770038,11.6532655051851,2.20831252150754e-31,2.57820486886006e-28,"pdam_00013802"," unknown function","","PF01852"
"pdam_00013803",9.15867600866809,20.6403036255948,1.83995264975802,11.2178449963423,3.33293322212203e-29,3.04528659403889e-26,"pdam_00013803"," unknown function","",""
"pdam_00014678",11.2315417076662,20.4876741762961,2.11387298277764,9.69200814959807,3.26053693415047e-22,1.08762196303448e-19,"pdam_00014678"," unknown function","",""
"pdam_00012240",1.60117072700874,19.0170388867492,1.93285440653419,9.83883670826955,7.65912875042966e-23,2.92648346709599e-20,"pdam_00012240"," CML25: Probable calcium-binding protein CML25 (Arabidopsis thaliana)","","PF13202, PF13499"
"pdam_00022766",9.82318113287474,18.9811006990257,1.2866966235632,14.7518073424814,2.99534387096425e-49,1.3515693923302e-45,"pdam_00022766"," unknown function","",""
"pdam_00002792",1.07859649806598,18.5885962054406,2.1845141622117,8.50925872992313,1.75048835381597e-17,2.87394630901896e-15,"pdam_00002792"," NPFFR2: Neuropeptide FF receptor 2 (Homo sapiens)","","PF00001"
"pdam_00024204",7.95587222739605,18.2520007127667,1.32829750557109,13.7408981317927,5.77548569243256e-43,1.51714789783088e-39,"pdam_00024204"," unknown function","",""
"pdam_00023343",2.79807385729438,18.2312757591751,1.51744428887477,12.0144613498096,2.98307084192695e-33,5.69902124937226e-30,"pdam_00023343"," unknown function","",""
"pdam_00025232",13.2554741575113,18.1065521527636,1.22759958125689,14.7495587561418,3.09682778933855e-49,1.3515693923302e-45,"pdam_00025232"," Samd9l: Sterile alpha motif domain-containing protein 9-like (Mus musculus)","",""
"pdam_00024341",1.02755734223639,17.4468657492001,2.08057692528961,8.38559033176413,5.04718199759186e-17,7.56972785793841e-15,"pdam_00024341"," unknown function","","PF14529"
"pdam_00004728",0.892593852588152,16.9575839838499,1.90387461781524,8.90688064496036,5.2488513989839e-19,1.05052011571092e-16,"pdam_00004728"," unknown function","",""
