"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00000345",3178.72896903705,-6.85247091203813,1.09382876969655,-6.26466509373232,3.73627530775347e-10,5.17754350771937e-07,"pdam_00000345 PXDN: Peroxidasin homolog (Homo sapiens)"
"pdam_00012315",46.5650771766635,-4.51371659373268,1.23359924774329,-3.65898131179144,0.000253219802879197,0.036299931914467,"pdam_00012315 CHS2: Chitin synthase 2 (Candida albicans)"
"pdam_00003271",53.4731307255715,-3.91557380399623,0.504273598625245,-7.76478049747379,8.17867408224323e-15,1.70003964142028e-11,"pdam_00003271 unknown function"
"pdam_00015433",25.9125415243605,-3.21474516310456,0.598911315424551,-5.36764806459821,7.97700153778434e-08,6.02952538962799e-05,"pdam_00015433 unknown function"
"pdam_00015361",38.0647904512836,-3.04227856461224,0.63184149975992,-4.81493945201163,1.47244528980436e-06,0.000699579792118762,"pdam_00015361 GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)"
"pdam_00017807",62.3041382519072,-2.86317194550228,0.635028700631475,-4.50872841283415,6.52173302179645e-06,0.00235760648737942,"pdam_00017807 Cdc7: Cell division cycle 7-related protein kinase (Mus musculus)"
"pdam_00004141",48.5307532471603,-2.82487389734983,0.658631878392953,-4.28900268878946,1.79477200628712e-05,0.00497421061542474,"pdam_00004141 GAL3ST1: Galactosylceramide sulfotransferase (Homo sapiens)"
"pdam_00008643",18.5699159954314,-2.69299336261514,0.652514091637456,-4.12710376239873,3.67360661481686e-05,0.00858876246518967,"pdam_00008643 BAMT: Benzoate carboxyl methyltransferase (Antirrhinum majus)"
"pdam_00008942",27.6440685585385,-2.64377403502948,0.637088847171576,-4.14977290336629,3.32805292164312e-05,0.00813855765205933,"pdam_00008942 ADGRL3: Adhesion G protein-coupled receptor L3 (Homo sapiens)"
"pdam_00013022",32.8548827740551,-2.30259687382174,0.612746379805806,-3.75783023728592,0.000171393091792938,0.0285009572342477,"pdam_00013022 unknown function"
"pdam_00023490",32.3587643816799,-2.1300557714744,0.574634139370136,-3.70680338242553,0.000209891765991148,0.031729910696971,"pdam_00023490 unknown function"
"pdam_00024919",22.2871110342202,-2.05017356700463,0.526631071963604,-3.89299772867622,9.90130797255775e-05,0.0185230819524911,"pdam_00024919 unknown function"
"pdam_00023737",21.1065416836824,-1.97622928540209,0.503368786676543,-3.92600681192413,8.63677104716172e-05,0.01670010066782,"pdam_00023737 unknown function"
"pdam_00018843",936.856951841685,-1.90890599277591,0.21569560794853,-8.84999936220966,8.75197961409863e-19,2.42561115004743e-15,"pdam_00018843 unknown function"
"pdam_00009572",27.0925705120469,-1.87598637934997,0.497496883337407,-3.77085051621853,0.000162692110793655,0.0273273445493707,"pdam_00009572 GH3.5: Jasmonic acid-amido synthetase JAR1 (Oryza sativa subsp. japonica)"
"pdam_00003312",70.0977612826489,-1.83978254095215,0.397529697823362,-4.62803798313864,3.69146323095142e-06,0.00149720346506076,"pdam_00003312 nhl-1: RING finger protein nhl-1 (Caenorhabditis elegans)"
"pdam_00021630",62.780541957933,-1.82463621680972,0.394085927651804,-4.63004661872088,3.65583415643928e-06,0.00149720346506076,"pdam_00021630 unknown function"
"pdam_00020850",90.1784314375527,-1.76205659040275,0.465058152677216,-3.7888951742036,0.000151318742476605,0.0259410244190048,"pdam_00020850 unknown function"
"pdam_00000349",747.723324743526,-1.74913664915529,0.384078461066267,-4.55411283491241,5.26071151203788e-06,0.0019440082607484,"pdam_00000349 PXDN: Peroxidasin homolog (Homo sapiens)"
"pdam_00007270",97.2597159289795,-1.74820805873319,0.442029679039758,-3.95495628829925,7.65486461190535e-05,0.0155548828492232,"pdam_00007270 unknown function"
"pdam_00004757",130.652579365245,-1.69915421011466,0.393651133377576,-4.31639608283534,1.58597291609892e-05,0.0045470937278981,"pdam_00004757 RX1: Retinal homeobox protein Rx1 (Gallus gallus)"
"pdam_00018516",118.405334344024,-1.67521050563506,0.458798297599359,-3.65130061380027,0.000260915620429463,0.0367692021366232,"pdam_00018516 unknown function"
"pdam_00006422",61.1088276516759,-1.62797472421415,0.356260861837409,-4.5696142871768,4.88622653638206e-06,0.00188617636259346,"pdam_00006422 unknown function"
"pdam_00025887",124.198383894415,-1.47926846926479,0.352056971734751,-4.20178717659171,2.64816035362821e-05,0.00688066539382556,"pdam_00025887 unknown function"
"pdam_00008593",359.662730885182,-1.4783475488287,0.20317779286586,-7.27612761206005,3.43538636724331e-13,6.34744887787655e-10,"pdam_00008593 CLOCK: Circadian locomoter output cycles protein kaput (Gallus gallus)"
"pdam_00023590",334.121973994218,-1.43646810596991,0.245245829499887,-5.85725803737091,4.705716876145e-09,5.21675772889435e-06,"pdam_00023590 ZP domain-containing protein (Acropora millepora)"
"pdam_00011124",102.834777665641,-1.37855126192893,0.350919059852945,-3.92840235724622,8.55120568674363e-05,0.01670010066782,"pdam_00011124 unknown function"
"pdam_00011012",58.8183756329739,-1.3458131786275,0.372517273257268,-3.61275375732191,0.000302962381675045,0.0412947659415928,"pdam_00011012 Coadhesin (Fragment) (Acropora millepora)"
"pdam_00021733",78.5245044994967,-1.33046131595459,0.347508408417481,-3.82857301788287,0.000128888393364814,0.0225608957185632,"pdam_00021733 unknown function"
"pdam_00013037",255.245683130169,-1.31044733095741,0.234557454280241,-5.5868927081368,2.31168442914314e-08,2.13561113179007e-05,"pdam_00013037 unknown function"
"pdam_00020565",242.638110567371,-1.19157568390584,0.297746245916822,-4.0019839049078,6.28135725249241e-05,0.013056586218962,"pdam_00020565 Ermp1: Endoplasmic reticulum metallopeptidase 1 (Mus musculus)"
"pdam_00025411",142.835939101536,-1.17903576642575,0.298320572063218,-3.95224425278958,7.74216548903385e-05,0.0155548828492232,"pdam_00025411 unknown function"
"pdam_00006175",270.422429729498,-1.14232087379974,0.239537143921906,-4.76886738773243,1.85264560205131e-06,0.000847322732847252,"pdam_00006175 CACHD1: VWFA and cache domain-containing protein 1 (Homo sapiens)"
"pdam_00014097",192.893251538848,-1.13469263918064,0.315261860424312,-3.59920682334822,0.000319189260056735,0.0428048242377697,"pdam_00014097 unknown function"
"pdam_00016946",4260.71374111547,-1.07033274681341,0.16474543209002,-6.49688876489496,8.19980428824355e-11,1.23958677735638e-07,"pdam_00016946 ACIAD3460: Glycine betaine transporter (Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1))"
"pdam_00015450",230.177047765666,-1.03345476197153,0.235904727153344,-4.38081412967938,1.18236700179133e-05,0.00378107324476693,"pdam_00015450 NVL: Nuclear valosin-containing protein-like (Homo sapiens)"
"pdam_00001082",407.550332826628,-1.01525789184144,0.210381704892409,-4.82578982977938,1.39449506024576e-06,0.000682031128141961,"pdam_00001082 unknown function"
"pdam_00020883",338.402403970708,-1.00311502604086,0.230418783716197,-4.35344293491444,1.34015991872129e-05,0.00390974022603796,"pdam_00020883 PPIL6: Peptidyl-prolyl cis-trans isomerase-like 6 (Bos taurus)"
"pdam_00008592",356.825305284634,-0.914868810559193,0.181404837987242,-5.04324372332084,4.57705652545319e-07,0.000272568600565932,"pdam_00008592 unknown function"
"pdam_00008094",446.525907504952,-0.913825055635979,0.192778165543271,-4.74029334733378,2.13409016443269e-06,0.00093388908800924,"pdam_00008094 PHKG1: Phosphorylase b kinase gamma catalytic chain%2C skeletal muscle/heart isoform (Oryctolagus cuniculus)"
"pdam_00003445",299.450374275962,-0.908559818645393,0.252406098505397,-3.59959535060903,0.000318712752660107,0.0428048242377697,"pdam_00003445 TUP1: General transcriptional corepressor TUP1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))"
"pdam_00004235",638.198503539349,-0.906696715476702,0.182328328098904,-4.97287900860291,6.59658343691211e-07,0.000353853503136811,"pdam_00004235 GSPT2: Eukaryotic peptide chain release factor GTP-binding subunit ERF3B (Homo sapiens)"
"pdam_00015127",412.869944807381,-0.902885598962449,0.244982689654369,-3.68550774030718,0.000228247144749386,0.0333186783817249,"pdam_00015127 RBM38: RNA-binding protein 38 (Homo sapiens)"
"pdam_00014954",1521.29615427402,-0.897622879357759,0.156206966567847,-5.7463690581808,9.11801796478881e-09,8.91903063155724e-06,"pdam_00014954 amt-1: Putative ammonium transporter 1 (Caenorhabditis elegans)"
"pdam_00002306",797.392788569899,-0.878646962812239,0.177694934888759,-4.94469334965733,7.62638160161617e-07,0.000396309686416485,"pdam_00002306 CG9801: PP2C-like domain-containing protein CG9801 (Drosophila melanogaster)"
"pdam_00015310",176.034080961442,-0.855294078761069,0.206821439506535,-4.13542271440406,3.54301842846116e-05,0.00853867441259139,"pdam_00015310 WBSCR27: Williams-Beuren syndrome chromosomal region 27 protein (Homo sapiens)"
"pdam_00011083",733.70813818086,-0.813739858426078,0.218843898838225,-3.71835752673926,0.000200522334674085,0.0311634196569659,"pdam_00011083 unknown function"
"pdam_00005042",1018.91425917361,-0.807878549858256,0.223204176952746,-3.61945981875281,0.000295218646035057,0.0405718253298922,"pdam_00005042 TNXB: Tenascin-X (Homo sapiens)"
"pdam_00009015",1309.43711271954,-0.790347621011268,0.210667797849729,-3.75162995521047,0.000175688646272542,0.0286424166555501,"pdam_00009015 Aatk: Serine/threonine-protein kinase LMTK1 (Mus musculus)"
"pdam_00016244",1520.13281988643,-0.7171481718399,0.19617521229673,-3.65565131009089,0.000256529845812267,0.0364601265471128,"pdam_00016244 MTR: Methionine synthase (Bos taurus)"
"pdam_00006552",741.0738819507,-0.716950927182555,0.156123533191783,-4.59220280585021,4.38591837445037e-06,0.00173651039639846,"pdam_00006552 Chchd2: Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 (Mus musculus)"
"pdam_00014428",1954.6068785163,-0.712646097552495,0.187475223476574,-3.80128149382653,0.000143949650617649,0.0249347785429259,"pdam_00014428 ERF1: Eukaryotic peptide chain release factor subunit 1 (Polyandrocarpa misakiensis)"
"pdam_00024054",252.952267387548,-0.695662395682841,0.187887703236066,-3.70254350711178,0.000213448742084927,0.0319769291182906,"pdam_00024054 Dmap1: DNA methyltransferase 1-associated protein 1 (Mus musculus)"
"pdam_00001214",1314.99308187182,-0.68806747842326,0.17848079854133,-3.85513446850658,0.000115666034965356,0.0205174871882886,"pdam_00001214 SLC5A8: Sodium-coupled monocarboxylate transporter 1 (Homo sapiens)"
"pdam_00003871",1309.90521158212,-0.634204144381759,0.153891323025546,-4.12111697991239,3.77039906163236e-05,0.00858876246518967,"pdam_00003871 choC: Phosphatidyl-N-methylethanolamine N-methyltransferase (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))"
"pdam_00005491",694.535926748993,-0.582148971681619,0.147420156431727,-3.94891028318249,7.85077664966859e-05,0.0155548828492232,"pdam_00005491 Ptpdc1: Protein tyrosine phosphatase domain-containing protein 1 (Mus musculus)"
