"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","GeneInfo","KO_terms","Pfam_domains"
"pdam_00004604",26.2283453811693,3.71900736525678,0.725807434468308,5.12395876460146,2.99186440884413e-07,0.00024895303745992,"pdam_00004604"," unknown function","",""
"pdam_00010714",1042.279630596,3.01909620874079,0.364697840132131,8.2783495719277,1.24894138665236e-16,5.19622063916716e-13,"pdam_00010714"," HEBP2: Heme-binding protein 2 (Homo sapiens)","","PF04832"
"pdam_00002487",20.5780853074763,2.9187331713913,0.754066339466579,3.87065834745519,0.000108541825259592,0.0205267392723878,"pdam_00002487"," PPP1R3B: Protein phosphatase 1 regulatory subunit 3B (Bos taurus)","K07189","PF03370"
"pdam_00002776",259.677392584835,2.91425596150135,0.422525316481498,6.8972339593028,5.30248170981877e-12,1.10304875768505e-08,"pdam_00002776"," unknown function","",""
"pdam_00002777",148.506165034726,2.81215258553173,0.335370016436798,8.38522362675704,5.06294133377462e-17,2.80858232255591e-13,"pdam_00002777"," Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)","K03730","PF00010, PF075277"
"pdam_00003672",15.5191366745317,2.70143315468579,0.745974306046761,3.6213487955126,0.000293071075244749,0.0399777773296976,"pdam_00003672"," unknown function","",""
"pdam_00001872",345.316494087773,2.50535469068294,0.538708747619851,4.65066643478914,3.3086410469707e-06,0.00189870359667884,"pdam_00001872"," unknown function","",""
"pdam_00009540",940.179917259802,2.47677857577296,0.30964676065349,7.99872270759712,1.25716473270829e-15,3.4869559136219e-12,"pdam_00009540"," Hlf: Hepatic leukemia factor (Rattus norvegicus)","K09057","PF07716"
"pdam_00020672",595.994284447438,2.43626193623306,0.255844017872828,9.5224502667248,1.69143014300682e-21,2.81487804399195e-17,"pdam_00020672"," unknown function","","PF01471, PF03734"
"pdam_00016728",34.0494311668804,2.3831425638704,0.553698600793553,4.30404295848844,1.67709122244887e-05,0.00498395573642751,"pdam_00016728"," unknown function","",""
"pdam_00020671",2962.82964383406,2.22932554695146,0.38435483988508,5.80017555553096,6.62455290204918e-09,8.48044687660789e-06,"pdam_00020671"," unknown function","",""
"pdam_00007240",59.6806709079964,2.11867159848777,0.528049324867386,4.012260784577,6.01400093051942e-05,0.0131690794060137,"pdam_00007240"," SCUBE1: Signal peptide%2C CUB and EGF-like domain-containing protein 1 (Homo sapiens)","","PF07699"
"pdam_00017586",512.607346421153,2.07393208215353,0.402965509294339,5.14667393193362,2.65145618486151e-07,0.000232239651728765,"pdam_00017586"," Fat3: Protocadherin Fat 3 (Rattus norvegicus)","",""
"pdam_00006816",57.5436609401467,2.01987278179551,0.554420981532014,3.64321129444642,0.000269257629349649,0.038140582564712,"pdam_00006816"," TLL1: Tolloid-like protein 1 (Gallus gallus)","","PF00431, PF13385"
"pdam_00001557",57.7327162629992,1.96332236233597,0.45092888466828,4.35395120847108,1.33705477584096e-05,0.00427908953452794,"pdam_00001557"," unknown function","",""
