"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00025812",211.181823078865,12.4679074518113,2.20114635851464,5.6642791623474,1.47643872527237e-08,1.07733888234718e-06,"pdam_00025812 unknown function"
"pdam_00024483",200.742199108595,11.1812829551329,2.30921699198033,4.8420235057876,1.28523555864993e-06,3.80411623451104e-05,"pdam_00024483 pif1: ATP-dependent DNA helicase PIF1 (Danio rerio)"
"pdam_00025583",72.2991133467103,10.2939972330996,3.08958387618413,3.33183938214148,0.000862740336823476,0.0063326888502778,"pdam_00025583 unknown function"
"pdam_00025723",35.7787702811102,9.47316870321452,3.03232619455866,3.12405991156677,0.00178374133198025,0.0109831011109185,"pdam_00025723 unknown function"
"pdam_00025503",34.1781303809229,9.46349928673052,3.01311183384197,3.14077266580038,0.0016850277317701,0.0105326763186046,"pdam_00025503 unknown function"
"pdam_00025966",19.1538878053814,8.77289323933705,2.94584245642052,2.97805920347721,0.00290079946746583,0.0161024780952882,"pdam_00025966 unknown function"
"pdam_00025092",17.6807795475101,8.44253669754477,2.26624825333828,3.72533621817846,0.00019505506491582,0.00201132590245631,"pdam_00025092 unknown function"
"pdam_00011197",28.789170281435,8.25473142813767,2.28840850084317,3.60719313229966,0.000309527272039092,0.00286047300875176,"pdam_00011197 unknown function"
"pdam_00000173",29.8883522633072,8.1592261330426,1.86356084228973,4.37829876432555,1.19609310868147e-05,0.000223828109340526,"pdam_00000173 hoxX: Hydrogenase maturation factor HoxX (Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110))"
"pdam_00003954",28.7113299837852,7.23853100063017,1.04466302356124,6.92905830624129,4.23651181381319e-12,1.14141404829852e-09,"pdam_00003954 unknown function"
"pdam_00025903",6.82217656342789,7.15755506822596,2.82073142491893,2.53748194705623,0.0111653126593026,0.0444813356464917,"pdam_00025903 unknown function"
"pdam_00014081",21.1174058439975,7.10056150066498,1.47959332261369,4.79899536726881,1.59463482576145e-06,4.52243601395098e-05,"pdam_00014081 unknown function"
